#Insert size (bp)	insert size
64.0	21.0
65.0	21.0
66.0	21.0
67.0	19.0
68.0	28.0
69.0	32.0
70.0	29.0
71.0	41.0
72.0	38.0
73.0	44.0
74.0	64.0
75.0	68.0
76.0	60.0
77.0	69.0
78.0	82.0
79.0	103.0
80.0	122.0
81.0	101.0
82.0	118.0
83.0	120.0
84.0	142.0
85.0	133.0
86.0	144.0
87.0	162.0
88.0	184.0
89.0	212.0
90.0	227.0
91.0	224.0
92.0	266.0
93.0	227.0
94.0	238.0
95.0	265.0
96.0	221.0
97.0	256.0
98.0	273.0
99.0	288.0
100.0	339.0
101.0	311.0
102.0	361.0
103.0	350.0
104.0	342.0
105.0	350.0
106.0	346.0
107.0	312.0
108.0	324.0
109.0	355.0
110.0	359.0
111.0	395.0
112.0	401.0
113.0	403.0
114.0	387.0
115.0	383.0
116.0	376.0
117.0	337.0
118.0	409.0
119.0	372.0
120.0	418.0
121.0	394.0
122.0	399.0
123.0	407.0
124.0	437.0
125.0	365.0
126.0	355.0
127.0	356.0
128.0	320.0
129.0	352.0
130.0	377.0
131.0	359.0
132.0	360.0
133.0	334.0
134.0	398.0
135.0	327.0
136.0	370.0
137.0	339.0
138.0	310.0
139.0	350.0
140.0	318.0
141.0	318.0
142.0	312.0
143.0	316.0
144.0	324.0
145.0	294.0
146.0	337.0
147.0	281.0
148.0	285.0
149.0	250.0
150.0	285.0
151.0	274.0
152.0	270.0
153.0	287.0
154.0	267.0
155.0	286.0
156.0	228.0
157.0	234.0
158.0	243.0
159.0	232.0
160.0	245.0
161.0	235.0
162.0	216.0
163.0	236.0
164.0	229.0
165.0	221.0
166.0	232.0
167.0	225.0
168.0	213.0
169.0	195.0
170.0	177.0
171.0	217.0
172.0	215.0
173.0	184.0
174.0	231.0
175.0	187.0
176.0	198.0
177.0	173.0
178.0	180.0
179.0	159.0
180.0	145.0
181.0	163.0
182.0	164.0
183.0	160.0
184.0	163.0
185.0	171.0
186.0	155.0
187.0	141.0
188.0	119.0
189.0	166.0
190.0	148.0
191.0	121.0
192.0	145.0
193.0	159.0
194.0	135.0
195.0	132.0
196.0	114.0
197.0	113.0
198.0	112.0
199.0	122.0
200.0	105.0
201.0	99.0
202.0	105.0
203.0	107.0
204.0	118.0
205.0	120.0
206.0	114.0
207.0	106.0
208.0	104.0
209.0	98.0
210.0	105.0
211.0	109.0
212.0	99.0
213.0	101.0
214.0	92.0
215.0	85.0
216.0	90.0
217.0	102.0
218.0	80.0
219.0	69.0
220.0	80.0
221.0	83.0
222.0	79.0
223.0	67.0
224.0	72.0
225.0	73.0
226.0	68.0
227.0	95.0
228.0	56.0
229.0	66.0
230.0	63.0
231.0	66.0
232.0	60.0
233.0	76.0
234.0	71.0
235.0	61.0
236.0	58.0
237.0	55.0
238.0	49.0
239.0	58.0
240.0	52.0
241.0	49.0
242.0	60.0
243.0	45.0
244.0	46.0
245.0	59.0
246.0	60.0
247.0	60.0
248.0	65.0
249.0	56.0
250.0	38.0
251.0	48.0
252.0	35.0
253.0	45.0
254.0	38.0
255.0	42.0
256.0	39.0
257.0	51.0
258.0	43.0
259.0	36.0
260.0	36.0
261.0	37.0
262.0	37.0
263.0	29.0
264.0	35.0
265.0	32.0
266.0	34.0
267.0	31.0
268.0	43.0
269.0	36.0
270.0	31.0
271.0	31.0
272.0	28.0
273.0	38.0
274.0	30.0
275.0	37.0
276.0	26.0
277.0	34.0
278.0	29.0
279.0	28.0
280.0	38.0
281.0	33.0
282.0	29.0
283.0	23.0
284.0	28.0
285.0	28.0
286.0	24.0
287.0	23.0
288.0	26.0
289.0	26.0
290.0	21.0
291.0	29.0
292.0	16.0
293.0	31.0
294.0	14.0
295.0	25.0
296.0	28.0
297.0	23.0
298.0	26.0
299.0	19.0
300.0	16.0
301.0	22.0
302.0	24.0
303.0	20.0
304.0	18.0
305.0	17.0
306.0	17.0
307.0	14.0
308.0	12.0
309.0	8.0
310.0	21.0
311.0	14.0
312.0	17.0
313.0	15.0
314.0	6.0
315.0	15.0
316.0	19.0
317.0	15.0
318.0	12.0
319.0	15.0
320.0	12.0
321.0	20.0
322.0	14.0
323.0	14.0
324.0	12.0
325.0	17.0
326.0	9.0
327.0	9.0
328.0	17.0
329.0	8.0
330.0	9.0
331.0	5.0
332.0	10.0
333.0	13.0
334.0	13.0
335.0	9.0
336.0	8.0
337.0	8.0
338.0	4.0
339.0	13.0
340.0	14.0
341.0	8.0
342.0	10.0
343.0	11.0
344.0	16.0
345.0	9.0
346.0	9.0
347.0	9.0
348.0	7.0
349.0	9.0
350.0	10.0
351.0	8.0
352.0	6.0
353.0	10.0
354.0	4.0
355.0	11.0
356.0	7.0
357.0	10.0
358.0	11.0
359.0	8.0
360.0	5.0
361.0	10.0
362.0	6.0
363.0	10.0
364.0	12.0
365.0	6.0
366.0	6.0
