"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_11","sample_17","sample_24","sample_30","sample_37","sample_50"
"ENSGMOG00000002534",10.2809864420771,16.9145282785455,16.6800580586476,9.08105580662972,13.5712697678024,10.4745730699904,15.5932079820367,18.9081003473321,19.5143160606592,17.3667916910407,10.3193201944593,15.9224400671313,12.919726319585,4.81857882952098
"ENSGMOG00000002780",21.0515436671103,22.0997430785224,14.7980731463118,25.8724420151149,18.7030027551719,20.4010580142255,14.8816535108877,14.1127200590209,17.03595326577,13.9980919844923,28.4144661692506,20.8385851569829,28.4422130385039,14.1387247234629
"ENSGMOG00000002820",2.09816049838309,1.21584347033942,3.71240859419669,4.0265058765245,5.06990487908791,7.12514563481906,1.26046792032109,1.30400692050566,4.35388058561618,3.63034628569776,3.27020710387795,3.92557854189642,7.33790281257984,0
"ENSGMOG00000002838",34.3398934902032,19.596535933706,20.3666860376069,21.760265800792,18.3629481596233,12.6669255730117,22.3834706495729,25.5332967982883,14.0217282449588,16.1893820848684,23.6544980513838,12.6939268737959,12.2298380209664,17.3722447274835
"ENSGMOG00000002848",14.0576753391667,14.9477226647611,7.11544980554366,8.053011753049,6.12098271987443,7.73413244121385,6.2413492183641,6.435905123786,6.27405356183664,4.54610931272062,8.35719593213254,6.93396583568621,6.42850460076439,20.4789600254642
"ENSGMOG00000002858",5.14049322103856,2.89656826757333,5.90376088938224,4.75470374781084,7.2338886689425,7.49053771865594,4.22866657139978,7.44545886869361,3.63939761772019,5.72351891889287,4.6509612144042,6.05346223750383,7.71420552091726,1.90207059060039
"ENSGMOG00000002885",43.3969529748902,7.72418204686221,17.6855020529092,64.6382698688879,41.0538638989557,46.1003012440857,12.4217080534869,14.2389142771344,39.8994082384416,19.0674944555117,45.4558787439035,24.2138489500153,38.1633663372208,0.760828236240154
"ENSGMOG00000002906",0.594478807875208,0.321840918619259,0.618734765699449,0.342681351193574,1.02016378664574,1.55291635630672,0.569243576919202,0.504776872453804,0.759138153389487,0.392469868724083,0.254349441412729,0.366876499242657,1.00347388889981,0.126804706040026
"ENSGMOG00000003254",5.31533992923716,3.03960867584855,5.64595473700747,5.44006645019799,6.27555299057832,4.62829972860042,7.37983637220251,8.72843341951369,5.15767392449916,5.62540145171185,4.83263938684186,8.10797063326271,4.01389555559923,6.34023530200129
"ENSGMOG00000003271",2.37791523150083,2.39592683861004,2.42337783232284,2.01325293826225,2.53495243954395,2.00965646110281,16.4267432196684,6.435905123786,3.32681131926569,3.59764046330409,2.36181624168963,3.08176259363831,1.50521083334971,13.6315058993028
"ENSGMOG00000003294",581.924814226549,568.478342587817,486.325525839767,559.855657512502,461.083117509733,425.590429649,702.405913662801,653.496758500506,495.069713973679,459.255158051964,637.327028911325,498.071535371831,413.744827817002,1042.46148835505
"ENSGMOG00000003308",38.8859079033666,26.9273568578113,45.0645154351098,54.2293238263831,36.4167557778388,24.8466617009075,46.0274092194669,50.498719615066,40.6362187990843,39.9665149650691,56.2112265522132,37.3480276229024,25.7767355211138,33.0960282764467
"ENSGMOG00000003356",46.9987951637812,61.5073755583472,50.9167150940171,84.3852827314177,55.4907271827,61.4467687652345,33.8699928266925,41.5599624986965,43.427167892428,48.8624986561483,61.3345510149553,58.700239878825,58.9854495318918,77.8580895085758
