"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_10","sample_23","sample_29","sample_36","sample_42","sample_49"
"ENSGMOG00000002534",11.3062248775135,18.1808101820822,18.0984444885118,9.87161895570281,14.5174189848105,11.2175288198066,17.2170976010289,20.7057079936049,15.8201261815934,11.9839710432352,15.8602279246995,12.6477072569426,15.6969636604622,17.1070154370754
"ENSGMOG00000002780",23.150841415861,23.7542086522765,16.056425249468,28.1248011756816,20.0069213799781,21.8480939222978,16.4314412567838,15.4544272121345,18.4463921880239,24.8323596699169,18.5604459405534,27.4709676572076,16.3486426571962,14.2718640022792
"ENSGMOG00000002820",2.30739283214562,1.3068658481835,4.02809274551113,4.37703859356634,5.42336381209323,7.63052832510102,1.39173409551994,1.42797986162792,2.77216967345444,4.63642158394019,6.50894658558458,9.21844552255288,1.10502090750546,0.961068282981765
"ENSGMOG00000002838",37.7643293527832,21.0636024942517,22.0985643677347,23.6546341014011,19.6431591730694,13.5653836890685,24.7145038575396,27.9607669680048,25.5331417291856,20.3138132109922,14.5527539380756,14.4913963614531,26.2654969553222,23.8825468320969
"ENSGMOG00000002848",15.4595319753756,16.0667624864912,7.72051109556301,8.75407718713268,6.54771972435646,8.28271023322931,6.89132850523583,7.04777157513137,9.54626849956492,9.23355145954189,5.96890298241381,6.41603808369681,6.23345127310774,7.08787858699052
"ENSGMOG00000002858",5.65311243875676,3.11341569714304,6.40578638001423,5.16863067963685,7.738214219694,8.02183746997799,4.66904341722818,8.15330437123041,4.39795339172096,4.63642158394019,6.82160340847292,7.22726128968146,3.8250723721343,4.54104763708884
"ENSGMOG00000002885",47.7245750782118,8.3024418590481,19.1893862737544,70.2654386988469,43.9160191613403,49.3701704453117,13.7153150381078,15.5926188116469,28.0343474495957,53.6724735903584,32.74369636067,39.7868108753382,18.5870183416304,12.8302615778066
"ENSGMOG00000002906",0.653761302441258,0.345935077460337,0.671348790918522,0.37251392285671,1.09128662072608,1.66306386572714,0.628525075396101,0.552766398049519,0.208433810034169,0.51079220840019,0.653736993311988,1.51182506569867,0.453341910771472,0.840934747609044
"ENSGMOG00000003254",5.84539517476889,3.26716462045874,6.12605771713152,5.91365852535027,6.71306618204223,4.95658250177502,8.14837865602803,9.55825229960627,7.0450627791549,5.46154745904818,5.99732632994911,4.75671788963729,8.44349308811867,7.7846530921523
"ENSGMOG00000003271",2.61504520976503,2.57529446553807,2.62944943109755,2.18851929678317,2.71168190604661,2.15220029682336,18.1374378900018,7.04777157513137,2.02180795733143,2.51466933366247,2.9844514912069,1.88056288660079,13.9402637562228,4.75728800075974
