"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_5","sample_16","sample_22","sample_28","sample_35","sample_48"
"ENSGMOG00000002534",11.0549703189915,18.1490309374399,17.6992234015308,9.6163743323556,14.4398538562598,11.114901166098,16.8855594599534,20.353595524849,9.49323455111472,18.6827288071373,12.0145022712995,14.5390542954708,12.4222489391454,18.5778240185284
"ENSGMOG00000002780",22.6363677960301,23.7126873558939,15.7022476545265,27.3975947959565,19.9000263850506,21.6482086665281,16.1150319748186,15.1916157921843,16.8419131042366,17.6476745795951,28.4876441956874,18.8742287000026,27.6598206518821,12.7452513615486
"ENSGMOG00000002820",2.25611639163091,1.30458150501682,3.939239829707,4.26386409076144,5.39438731760049,7.56071765368294,1.36493440223874,1.40369624309303,1.31532767876891,5.45991105028528,3.94810839510124,4.12873752812557,7.92353729062311,1.9638291774343
"ENSGMOG00000002838",36.9251049430259,21.0267842573299,21.611107399087,23.0430101926257,19.5382077235042,13.4412758287697,24.2385931752395,27.485278050241,27.3645345343879,13.455704958049,18.1408773671462,15.2173468893771,15.1504998743783,22.7804184582378
"ENSGMOG00000002848",15.1159798239271,16.0386785028538,7.55020967360509,8.52772818152289,6.51273590783473,8.2069328377584,6.75862679818213,6.92792016752368,9.97933391065975,5.5634164730395,8.37271263099056,9.3781323853138,6.44331603852868,6.38244482666146
"ENSGMOG00000002858",5.52748515949573,3.10797358548124,6.26448556252017,5.03498844760128,7.69686970925923,7.94844676412822,4.57913476880092,8.01465274282151,5.8617863945136,4.70949673531716,5.13934799707144,6.22259727453211,6.50136393076768,5.18450902842654
"ENSGMOG00000002885",46.6640073668993,8.28792956128332,18.7661008554098,68.4486267336066,43.6813802303259,48.9184894345127,13.4512083833527,15.3274573640965,38.3160671641377,21.2703643759929,64.7693989299798,33.0888821896921,39.3854948841596,13.3147618230045
"ENSGMOG00000002906",0.639232977628758,0.345330398386805,0.656539971617834,0.36288205027757,1.08545598463912,1.64784871939243,0.616421988107816,0.543366287648916,0.0857822399197113,0.31051626826267,0.442460423588932,1.17963929375016,0.986814168062952,0.490957294358574
"ENSGMOG00000003254",5.71549485879831,3.26145376254205,5.99092724101274,5.76075254815642,6.67719893581036,4.91123539897353,7.99147077439776,9.39570872392917,6.60523247381777,6.72785247902451,4.25442714989358,5.48532271593826,4.29554402568579,8.83723129845433
"ENSGMOG00000003271",2.55693191051503,2.57079296576844,2.57144822216985,2.13193204538072,2.69719365880024,2.13251010744903,17.7881773711113,6.92792016752368,1.57267439852804,2.89815183711825,1.94001878035147,5.04295798078195,1.45119730597493,3.82946689599688
