"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_4","sample_9","sample_15","sample_21","sample_34","sample_40","sample_47"
"ENSGMOG00000002534",10.5262479133744,17.3433263429889,17.2298054013813,9.26002477985116,13.9453395692683,10.8314139776356,15.9317106253739,19.3783243484264,8.70554892166553,17.220248881943,17.3142280972654,9.9308024504485,11.5645833947522,17.653891074519,16.8523502048327
"ENSGMOG00000002780",21.5537457273857,22.6599908667382,15.2857933545484,26.382334750142,19.2185203631147,21.0960679215578,15.2047094886228,14.4636881399267,15.8231149781413,19.5518106261132,19.8080469590115,25.4111709761476,29.6691380886055,15.7861605695336,12.7744419333425
"ENSGMOG00000002820",2.14821385987233,1.24666616418948,3.83476348964282,4.10586004389627,5.2096484951253,7.36788043827541,1.28783058510193,1.33643616196044,1.92826490773048,3.0310302674213,3.66947632514061,2.70176243137202,4.38656611525082,0.665219083967381,0.991314717931337
"ENSGMOG00000002838",35.1591001732438,20.0933252345834,21.0379385890127,22.1891159819075,18.8690927201489,13.0984541124896,22.8693786160844,26.1682822680641,29.1224714741059,21.2172118719491,15.7110588290001,27.1271552231001,13.3590877146275,30.4721511155827,20.1191827980156
"ENSGMOG00000002848",14.3930328611446,15.326660489153,7.34996335514873,8.21172008779254,6.28969757338298,7.99761380906818,6.37683854235958,6.59595912193378,9.38611300674687,11.0249562474335,8.1583502762835,9.56569941918201,9.01239947315168,9.3386525249267,7.29968110476712
"ENSGMOG00000002858",5.26312395668721,2.969998802922,6.09833916061253,4.84840920077113,7.4332789503617,7.74572046075107,4.32046389840649,7.63061937635476,7.20263656711089,5.02951176242436,5.16576764218824,3.76056122204484,4.70558910545088,4.963557780372,5.00163334956266
"ENSGMOG00000002885",44.432223335026,7.91999680779199,18.2683871798262,65.9121575131859,42.1854463507707,47.6708161690127,12.6913627015691,14.5930206717293,37.5728088638659,44.0332089399007,15.4616769428255,51.0048934679285,23.8070906436794,11.2831390780621,12.6392626536246
"ENSGMOG00000002906",0.608660593630493,0.329999866991333,0.639127248273803,0.349434897352874,1.04828292889716,1.60582009552156,0.581600909400874,0.517330127210492,0.198497858148725,0.299772224250458,0.427511804870751,0.255572121886542,1.47548132967528,0.230268144450247,0.428067719106714
"ENSGMOG00000003254",5.44214177834324,3.1166654104737,5.83203614049845,5.54727899547688,6.44852832018558,4.78597361802505,7.54004036116133,8.9455001163481,6.46535880827277,6.49506485875993,4.13261411375059,6.31628244091026,3.78839800862571,6.29399594830676,7.1870317050022
"ENSGMOG00000003271",2.43464237452197,2.45666567649103,2.50324838907239,2.05293002194814,2.60482424756265,2.07812012361614,16.7833405284252,6.59595912193378,1.24770082264913,1.1324728471684,3.5269723901837,2.55572121886542,0.996946844375186,17.5003789782188,4.59609551040893
