"","sample_1","sample_6","sample_12","sample_18","sample_25","sample_31","sample_38","sample_44","sample_2","sample_7","sample_13","sample_19","sample_26","sample_32","sample_45"
"ENSGMOG00000007275",237.535180220524,301.223278008505,105.054925406957,100.837542409392,119.273184778588,131.307964024785,314.240803275353,207.432224993381,209.521154127706,229.856840566424,80.6871450769723,107.091959829961,113.109346932476,162.827702074282,211.935588778176
"ENSGMOG00000016619",1.29545015723964,1.55003402062695,1.82052368187387,2.19307399759443,1.78590864909115,1.36054035013633,3.32806818895498,2.45674891774992,1.7132703989013,2.88165284941256,2.51059816782939,1.92052190984558,1.68671833144921,0.784171939814224,2.80296884497221
"ENSGMOG00000016638",10.795417976997,12.8431390280519,7.49627398418652,11.8864610669618,9.40791163360517,13.4788416083274,6.07006147671034,7.19631762632942,12.7313714125252,18.933359737156,8.57580562278356,14.3581876117027,12.038538679363,9.8581615290931,4.34070869742224
"ENSGMOG00000016644",7.16096059140801,2.25123988710105,4.60485401885743,7.50031307177296,5.00692246263054,5.34723998076837,3.87228059721177,4.50041615906402,7.35524705735213,5.67325404728098,4.84719448244288,8.6271063569254,5.29166535356615,2.57656494510388,3.63996648617918
"ENSGMOG00000016686",82.4410086176671,198.957938219045,115.362302135213,129.479088817975,88.9765201957912,80.6832068104103,106.184213349488,129.381529287874,160.811104338253,118.350383041889,88.2189395804605,139.771316772095,81.3924277195393,112.360636519095,122.49363153757
"ENSGMOG00000009277",7.77270094343784,6.31085279826688,4.49776439051191,0.833368119085884,0.478368388149415,3.8601377375961,8.3934298350374,1.86973811439375,7.23709047811756,6.46120599829222,1.86430557017034,1.52422373797269,0.760676894575134,2.74460178934978,2.93922427493613
"ENSGMOG00000009383",0.97158761792973,0.516678006875651,1.71343405352835,2.28079695749821,2.4237331666237,2.62615928049571,2.17684963302716,2.50023119948001,0.768017765024721,2.94919158807067,1.49144445613627,2.80457167786974,2.44739522602434,0.504110532737715,1.71292540526079
"ENSGMOG00000020069",0.28787781271992,0.811922582233166,65.0034044057316,42.8965273929471,129.287029703849,8.00503973452306,51.0722413902525,171.559342566059,0.147695724043216,0.292667867518463,57.3957541536442,30.1491455370997,127.066114302507,24.3093301342409,184.548247355427
"ENSGMOG00000013791",4.17422828443884,1.84527859598447,3.6945921779205,1.35970587850855,4.08207691220834,3.57537347826524,5.12815538549667,21.4150237520679,3.81054968031496,4.18740179680263,3.23146298829526,1.28034793989706,4.92786336050848,3.3607368849181,22.1512398998498
"ENSGMOG00000020070",17.2366840366052,27.4946510801686,12.529486516426,16.930531261429,14.1915955150993,12.4347059907809,16.8287221630176,16.479784775703,12.4064408196301,13.6653381218236,11.0366889754084,15.2727218544863,14.386715180008,22.2928880032901,17.5574854039231
"ENSGMOG00000013813",5.0378617225986,3.80127390772801,2.65046830155166,2.3246584374501,7.43065562925425,3.0374854328625,4.20718054075441,2.45674891774992,3.6333148114631,3.75965645196795,1.54115927134081,2.0424598088834,6.97838368501536,3.64079829199461,2.58885316931461
"ENSGMOG00000013874",3.99430465148889,0.184527859598447,1.90084090313301,1.66673623817177,3.02966645827963,1.58202366294922,2.11405589361291,1.43491529709288,5.40566349998169,2.5889849818941,1.59087408654536,1.34131688941596,2.44739522602434,0.840184221229526,1.34308923821585
"ENSGMOG00000013951",30.1911856090016,17.936107952969,8.24590138260517,4.2545635553332,12.3100131883783,16.263203255118,6.44682391319581,1.89147925525879,22.2725151857169,9.36537176059082,8.89895192161309,5.18236070910713,8.53281038262542,24.9814775112246,1.38201936106268
"ENSGMOG00000016484",0.75567925838979,0.0369055719196894,0.481903327554847,0.570199239374552,1.27564903506511,0.727730884956642,0.690731133556694,1.04357476152209,0.47262631693829,0.427745344834677,1.36715741812492,0.792596343745797,0.760676894575134,0.504110532737715,0.506091597008871
"ENSGMOG00000018718",0.7196945317998,0.516678006875651,1.04412387636884,2.01762807778688,1.24375780918848,1.39218082339531,1.69543096418461,1.67406784660835,0.797556909833364,1.21569729584592,1.1185833421022,1.70713058652941,1.65364542298942,0,1.38201936106268
"ENSGMOG00000018728",0.82764871156977,1.69765630830571,1.01735146928246,0.219307399759443,0.54215083990267,0.379685679107813,0.711662380028109,0.630493085086263,1.89050526775316,3.01673032672877,0.571720374852237,0.426782646632352,0.529166535356615,0.0560122814153017,0.506091597008871
"ENSGMOG00000018736",10.3276165313271,20.2980645558292,10.2538319140837,15.5269639029686,10.7154518945469,22.8444216929867,5.52584906845355,6.50060111864803,8.86174344259293,13.5077477316214,9.71924637248804,11.4011935600357,12.2700490385815,30.1346074014323,7.45511852516913
"ENSGMOG00000018755",158.476735902316,45.3938534612179,36.1427495666136,62.3271630116338,91.5916007176747,53.2825569681298,75.457143529451,118.206582883242,187.041864928328,112.406974039976,59.6577782454509,89.9292005403885,62.5077969890001,28.5102512403886,105.967794389088
"ENSGMOG00000005869",24.7934766205031,52.7749678451558,30.2260476005235,36.5804742798751,29.3399278064975,39.0443440015868,42.4067053510867,36.0468115542422,22.9519155163157,32.4636203816634,35.0489447192024,35.270537296688,26.8552016693482,65.8704429443948,38.4240312498273
"ENSGMOG00000005884",23.6419653696234,13.3967226068472,21.4982428903635,26.9309486904596,25.098394764906,17.9085078645852,7.68176745500929,13.2838370685416,30.04131027039,20.2616215974321,18.8170575549193,26.8263377883193,18.1239538359641,13.7230089467489,10.8809693356907
"ENSGMOG00000005917",4.13824355784885,2.14052317134198,3.45364051414307,6.1844686732163,4.24153304159148,10.4413561754649,1.88381218242735,2.3480432134247,6.4395335682842,6.64130930138051,4.35004633039746,7.59063421510398,3.83645738133546,4.31294566897823,2.10222663372915
"ENSGMOG00000006020",6.15338824688829,2.10361759942229,1.84729608896025,2.06148955773877,7.17552582224123,8.47964683340783,1.36053102064197,1.8479969735287,3.81054968031496,3.6020660617657,3.35575002630661,3.17038537498319,5.4239569874053,4.76104392030064,1.84918083522472
"ENSGMOG00000006044",11.2272346960769,21.8850041483758,20.2131673502172,14.6935957838827,23.8227457298409,20.7245099846348,9.85861708803645,7.30502333065464,8.359577980846,22.760554927782,27.4922928081119,12.8949328232489,28.9057219938551,19.2122125254485,9.53788009747487
