"","sample_1","sample_2","sample_3","sample_13","sample_14","sample_15"
"ENSGMOG00000000001",48.1857278953225,72.7518959802353,51.2006867559694,47.8520586078872,45.7219739257525,43.9848877042928
"ENSGMOG00000000002",4.78264680414897,4.99549803461016,4.55748321097774,4.52585889065033,4.7916467610432,3.96885101492962
"ENSGMOG00000000003",0.673612225936475,1.30834472335028,1.3117978381746,0.627178947393492,0.845584722537035,0.809183216636136
"ENSGMOG00000000004",27.9099998946346,27.0391242825725,31.9835246111642,24.1209633011065,25.8104670069638,27.9168209739467
"ENSGMOG00000000005",14.7072002662797,25.2748412465395,16.2689979311757,15.3404580375976,15.441987671093,14.4111677629483
"ENSGMOG00000000006",47.9162830049479,43.4529035391487,48.1308093408598,44.6483607414718,44.1314693285995,45.5647216034396
"ENSGMOG00000000007",8.15070793383135,5.92719806487476,5.90985211631237,7.94991692777156,7.77132625950703,7.05145374497204
"ENSGMOG00000000008",0.112268704322746,0.158587239193973,0.0946658233734248,0.152557041257876,0.0805318783368604,0
"ENSGMOG00000000009",47.5570231511151,41.9661481717052,45.3043583287104,40.0546987213736,41.8564437655832,44.3316805114226
"ENSGMOG00000000010",0.516436039884631,0.0792936195969867,0.527423873080509,0.779735988651368,0.845584722537035,0.732118148385076
"ENSGMOG00000000011",34.8257520809158,35.840716057838,32.5244721732981,31.3419965873126,30.4611829809175,29.4773886060307
"ENSGMOG00000000012",46.0301687723258,33.5412010895254,47.0218668384854,51.7846401158681,49.5673711163376,53.8492164404286
"ENSGMOG00000000013",0.0898149634581967,0.0396468097984934,0.14876057958681,0.237310953067808,0.181196726257936,0.308260273004242
"ENSGMOG00000000014",1089.88212782435,1254.06824073614,1110.71410564039,1174.87567629163,1121.14467723619,1102.85892547387
"ENSGMOG00000000015",34.8257520809158,32.5103840347645,35.6349206555677,31.8505200581722,35.7964199207345,33.2150444162071
"ENSGMOG00000000016",42.9764600147471,47.1598802553078,41.1661094783864,41.6141706986763,42.2993690964359,42.6362490098993
"ENSGMOG00000000017",0.202083667780942,0.317174478387947,0.500376494973817,0.322064864877739,0.463058300436948,0.366059074192538
"ENSGMOG00000000018",3.16597746190143,2.61668944670056,3.13749586037636,3.52576273129314,2.49648822844267,3.02480392885413
"ENSGMOG00000000019",63.005196865925,71.4831980666835,61.4245956802993,72.2781359915095,62.6940672852459,62.1337112774176
"ENSGMOG00000000020",27.7303699677182,23.0942667076224,25.9654829824251,24.2226679952784,26.958046273264,27.0305726890595
"ENSGMOG00000000021",209.17904989414,226.502224378793,205.100268183051,216.698801715632,201.007568328804,194.878291339869
"ENSGMOG00000000022",1.43703941533115,1.70481282133521,1.92036384557519,2.13579857761027,1.93276508008465,1.86882790508822
"ENSGMOG00000000023",13.247707110084,12.4094514669284,13.510165364293,10.7298452351373,11.4757926630026,11.0203047599017
"ENSGMOG00000000024",0.202083667780942,0.218057453891713,0.202855335800196,0.355966429601712,0.342260482931657,0.385325341255303
"ENSGMOG00000000025",11.4289541000555,14.629672815644,12.1172253917984,13.7131829308469,12.2005795680344,11.9258193118516
"ENSGMOG00000000026",1.25740948841475,0.792936195969867,0.919610855627555,0.830588335737327,0.825451752952819,1.34863869439356
"ENSGMOG00000000027",0.202083667780942,0.17841064409322,0.108189512426771,0.101704694171918,0.201329695842151,0.173396403564886
"ENSGMOG00000000028",80.6762909263252,80.5821409154377,84.8476251206953,97.2974907578012,77.1898053858807,94.4047086075492
"ENSGMOG00000000029",3.48032983400512,3.13209797408097,2.51540616392243,3.47491038420719,3.10047731596913,3.89178594667856
"ENSGMOG00000000030",0.0224537408645492,0,0,0,0,0
"ENSGMOG00000000031",0.0224537408645492,0.0396468097984934,0,0,0,0.0577988011882954
"ENSGMOG00000000032",27.0343040009172,26.603009374789,25.4515827983979,31.5623567580184,30.2195873459069,31.0764887722402
"ENSGMOG00000000033",9.94700720299528,10.8037556700894,9.54772447166255,10.2721741113637,9.80475618751276,8.9010153829975
"ENSGMOG00000000034",4.69283184069078,4.7576171758192,4.25996205180411,4.89877610261403,4.1272587647641,3.7569220772392
"ENSGMOG00000000035",0.359259853832787,0.336997883287193,0.270473781066928,0.27121251779178,0.241595635010581,0.211928937690417
"ENSGMOG00000000036",12.798632292793,15.6406664655056,15.4034818317615,14.0521985780866,14.7775996748139,14.35336896176
"ENSGMOG00000000037",0.718519707665573,0.455938312682674,0.757326586987398,0.694982076841437,1.0670473879634,1.17524229082867
"ENSGMOG00000000038",100.660120295774,106.867975811839,95.5854342290523,112.790505836657,99.8997950768754,98.5854885601693
"ENSGMOG00000000039",0.0449074817290983,0.05947021469774,0.283997470120274,0.0847539118099313,0.0805318783368604,0
"ENSGMOG00000000040",2.53727271769406,2.20039794381638,2.54245354202912,1.37301337132089,3.0602113768007,2.00369177452758
"ENSGMOG00000000041",8.68959771458053,4.40079588763276,5.51766513376533,2.44091266012602,4.50978518686418,14.5652978994505
"ENSGMOG00000000042",42.1905790844879,44.0079588763276,40.2194512446522,41.4107613103325,39.4606203850616,35.4884639296134
"ENSGMOG00000000043",0,0,0,0.0169507823619863,0.0201329695842151,0.0192662670627651
"ENSGMOG00000000044",80.4068460359506,90.1964922915724,77.9911147706487,84.7200102452074,80.4513464585236,76.3522163697383
"ENSGMOG00000000045",30.1104664993604,39.0917544613144,31.1856269570168,34.545694453728,31.4074325513756,29.0920632647754
"ENSGMOG00000000046",25.4625421403988,23.3123241615141,25.4380591093446,23.9006031304006,25.2467438586057,22.6571300658118
"ENSGMOG00000000047",91.1621879100696,114.797337771537,92.9077437964897,100.399483930045,88.9877255622308,104.384634946062
"ENSGMOG00000000048",1.50440063792479,1.66516601153672,1.50112948492145,1.42386571840685,1.20797817505291,1.48350256383292
"ENSGMOG00000000049",0.0449074817290983,0.0792936195969867,0.175807957693503,0.0678031294479451,0.161063756673721,0.0192662670627651
"ENSGMOG00000000050",36.6220513500797,42.3229694598917,36.6627210236221,40.1903049802694,35.0917659852869,36.2205820779985
"ENSGMOG00000000051",25.8442557350961,44.2854865449171,36.622149956462,24.4260773836222,25.7702010677953,23.7167747542639
"ENSGMOG00000000052",0.583797262478278,0.218057453891713,0.554471251187202,0.457671123773629,0.704653935447529,0.809183216636136
"ENSGMOG00000000053",34.3317697818957,31.8562116730894,32.5515195514048,32.1895357054119,31.0450390988597,34.6792807129773
"ENSGMOG00000000054",26.3157842932516,28.287998791225,26.195385696332,26.4093189199746,22.9515853260052,23.9865024931426
"ENSGMOG00000000055",27.9773611172283,24.8981965534538,25.532724932718,24.3413234718123,26.7768495470061,26.0672593359212
"ENSGMOG00000000056",55.6403698623528,57.7852252813041,59.8423240610578,60.463440685205,50.8961471088958,55.8721744820189
"ENSGMOG00000000057",2.29028156818401,2.77527668589453,2.38016927338897,2.11884779524828,2.19449368467945,2.13855564396693
"ENSGMOG00000000058",0.157176186051844,0.158587239193973,0.0540947562133856,0.220360170705822,0.241595635010581,0.173396403564886
"ENSGMOG00000000059",1.3247707110084,1.28852131845103,1.54170055208149,1.52557041257876,1.10731332713183,1.90736043921375
"ENSGMOG00000000060",0.785880930259221,0.812759600869114,0.892563477520862,1.01704694171918,1.10731332713183,0.944047086075492
"ENSGMOG00000000061",26.4505067384389,26.1074242523079,25.8978645371583,26.7822361319383,26.3540571857376,25.2966086534106
"ENSGMOG00000000062",4.31111824599344,3.96468097984934,4.16529622843069,5.47510270292157,5.79829524025395,4.85509929981682
"ENSGMOG00000000063",19.1530409574604,17.9600048387175,22.0706605350613,18.578057468737,22.2066654513893,18.6882790508822
"ENSGMOG00000000064",5.77061140218914,4.42061929253201,7.85726333999425,5.23779174985376,7.30826795907009,8.32302737111454
"ENSGMOG00000000065",30.1553739810895,35.1865436961629,32.4703774170847,31.8335692758102,31.2262358251176,33.3306420185837
"ENSGMOG00000000066",0,0,0,0.0169507823619863,0.0201329695842151,0
"ENSGMOG00000000067",1.95347545521578,2.14092772911864,1.64989006450826,1.67812745383664,1.57037162756878,1.54130136502121
"ENSGMOG00000000068",11.5187690635137,10.288347142709,11.2381856033309,10.4755834997075,11.7173882980132,12.7928013296761
"ENSGMOG00000000069",354.948735586793,392.186242526696,344.79997610412,388.545833301449,352.286701784596,351.185516020083
"ENSGMOG00000000070",21.3984150439154,23.3717943762118,20.5560073610865,23.5785382655229,18.6632628045674,19.6708586710832
"ENSGMOG00000000071",125.493957691965,127.821314790343,138.726002309227,116.434924044484,122.770848524544,116.040726519034
"ENSGMOG00000000072",0.0449074817290983,0.0198234048992467,0,0.0508523470859588,0.0805318783368604,0.0385325341255303
"ENSGMOG00000000073",29.0326869378621,25.2153710318418,27.3448992658664,28.4603635857749,28.4680189920802,27.1654365584989
"ENSGMOG00000000074",0.0898149634581967,0.0396468097984934,0.0946658233734248,0.0169507823619863,0.0201329695842151,0.0385325341255303
"ENSGMOG00000000075",72.9522040689202,62.681606291418,70.2826120102412,69.2608967310759,71.0089837235267,75.061376476533
"ENSGMOG00000000076",0.336806112968237,0.336997883287193,0.554471251187202,0.372917211963698,0.281861574179012,0.346792807129773
"ENSGMOG00000000077",44.3461382074846,47.1598802553078,43.843799910949,44.6653115238338,41.9571086135043,40.5940247012462
"ENSGMOG00000000078",0,0,0,0,0,0
"ENSGMOG00000000079",0,0,0.0946658233734248,0.0339015647239725,0.0402659391684302,0.0385325341255303
"ENSGMOG00000000080",0.0673612225936475,0.336997883287193,0.162284268640157,0.220360170705822,0.161063756673721,0.173396403564886
"ENSGMOG00000000081",0.314352372103688,0.218057453891713,0.135236890533464,0.457671123773629,0.322127513347442,0.192662670627651
"ENSGMOG00000000082",58.6491711382024,57.0121124902334,58.67928680247,57.7004631602013,60.1975790568032,62.6924330222378
"ENSGMOG00000000083",20.9942477083535,20.4577538560226,18.4598355578178,20.1205786636777,20.2739003713046,21.4240889737948
"ENSGMOG00000000084",5.14190665798176,6.42278318735592,5.88280473820568,7.37359032746403,5.97949196651189,7.70650682510606
"ENSGMOG00000000085",119.566170103724,101.555303298841,115.600494028005,94.3650054091776,96.3362594604693,105.136019361509
"ENSGMOG00000000086",1.43703941533115,1.68498941643597,1.52817686302814,1.50861963021678,1.40930787089506,1.23304109201697
"ENSGMOG00000000087",15.4032662330807,13.3807983069915,16.7964218042562,20.951166999415,23.5555744135317,21.6360179114853
"ENSGMOG00000000088",273.419202507615,284.822681592376,303.931387784907,274.212806269852,278.157107775516,278.28196145458
"ENSGMOG00000000089",0.359259853832787,0.35682128818644,0.554471251187202,0.830588335737327,1.18784520546869,1.3293724273308
"ENSGMOG00000000090",65.7670069922645,63.9106573951713,65.4276076400899,64.3282190637379,64.1033751561409,57.1052155740359
"ENSGMOG00000000091",11.6085840269719,11.735455700354,12.8475046006791,13.8487891897428,12.542840050966,13.370789341559
"ENSGMOG00000000092",83.3033786074774,85.7560495941411,85.2533357922957,81.6349678553259,75.2167743666276,73.3659449750097
"ENSGMOG00000000093",25.8891632168252,23.3717943762118,25.7220565794648,21.6122475115325,25.1662119802689,25.2966086534106
"ENSGMOG00000000094",1.4594931561957,1.40746174784651,1.4876057958681,1.30521024187294,1.28851005338977,0.982579620201022
"ENSGMOG00000000095",209.740393415754,215.440764445013,209.495467125389,229.361036140036,217.254874783265,222.062994165431
"ENSGMOG00000000096",43.5378035363608,34.5125479295885,39.0158429189043,34.630448365538,38.9572961454562,39.6114450810451
"ENSGMOG00000000097",0.561343521613729,0.971346840063087,1.25770308196121,1.06789928880514,1.65090350590564,1.42570376264462
"ENSGMOG00000000098",53.0581896629297,49.2809845795272,56.4884491758279,45.3602936006753,51.5806680747591,51.0170751822021
"ENSGMOG00000000099",34.5113997088121,31.9156818877871,36.1488208395949,31.5115044109325,31.4879644297124,30.9223586357381
"ENSGMOG00000000100",27.5058325590727,28.3078221961243,29.3464052457617,28.1891510679832,28.6290827487539,30.9416249028008
"ENSGMOG00000000101",5.50116651181455,6.04613849427024,4.71976747961789,6.10228165031506,6.6640129323752,6.87805734140716
"ENSGMOG00000000102",1.68403056484119,1.54622558214124,1.87979277841515,1.03399772408116,1.53010568840035,1.36790496145633
"ENSGMOG00000000103",3.54769105659877,4.55938312682674,3.82720400209703,3.5766150783791,4.04672688642724,3.91105221374132
"ENSGMOG00000000104",16.7504906849537,19.2683495620678,16.1608084187489,16.1710463733349,16.9720933594933,18.3029537096269
