genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000012971	-0.347199827663468	3.89846742513266	6.49723495381417	0.01080423904069	0.13738912976295
ENSGMOG00000016218	2.00699117077208	-3.36283191410328	6.49254323389852	0.0108327892413048	0.137667253163388
ENSGMOG00000004994	0.569549172570568	0.967338684737832	6.49081141737743	0.010843347290473	0.137716523535749
ENSGMOG00000009703	-0.234677761445167	6.77515117471347	6.4868919425774	0.0108672814331324	0.137890519864825
ENSGMOG00000020272	1.64037416893132	-2.87044688279677	6.48637761508588	0.0108704261767012	0.137890519864825
ENSGMOG00000005769	-0.327016624325491	4.89814428100755	6.48063463316269	0.0109056038646219	0.138251668180475
ENSGMOG00000018897	0.265026656549898	4.60467436846983	6.47860429075126	0.0109180683151729	0.138324611051419
ENSGMOG00000011075	0.2412000793446	5.37410097842358	6.47703756138925	0.0109276965938804	0.138361553986275
ENSGMOG00000020365	0.322789499585052	3.40035108079033	6.4739317021266	0.0109468092980777	0.13851846535376
ENSGMOG00000014757	-0.646772668951058	0.859417179026576	6.46949275226665	0.0109741850700807	0.138779679048818
ENSGMOG00000009911	-0.360810162084116	3.3861748432765	6.4608109245138	0.0110279306128849	0.139373840419004
ENSGMOG00000006811	0.554766207409438	1.48374664476145	6.45925747556064	0.0110375758088562	0.13941026357105
ENSGMOG00000012639	-1.72781112136651	-2.90417970902545	6.45432166074854	0.0110682792263907	0.139550905283769
ENSGMOG00000010134	-3.93819004543954	-4.27657501648454	6.45420258662914	0.0110690210129027	0.139550905283769
ENSGMOG00000014745	-3.93819004543954	-4.27657501648454	6.45420258662914	0.0110690210129027	0.139550905283769
ENSGMOG00000002732	0.300697411300648	3.46885449074912	6.45190218753894	0.0110833616408652	0.139593123275559
ENSGMOG00000019018	0.496693719353681	3.00986600144907	6.4504771766542	0.0110922546822652	0.139593123275559
ENSGMOG00000008087	-0.501055737506326	2.74836843796088	6.45040809720276	0.0110926859712495	0.139593123275559
ENSGMOG00000003817	-0.494163794774869	4.07692033216226	6.44758057011103	0.0111103540597683	0.13973015755583
ENSGMOG00000020122	0.450524850191246	2.40392080598244	6.44392712818041	0.0111332257276309	0.139932428002229
ENSGMOG00000017127	0.653257450974097	0.229771354977237	6.44136908681968	0.0111492686027349	0.140048673801446
ENSGMOG00000000308	0.254330107142924	4.95156365621436	6.43664793054663	0.0111789398737043	0.14032113317625
ENSGMOG00000001947	-0.402782715830602	2.14141324107497	6.43556800143738	0.0111857383341183	0.14032113317625
ENSGMOG00000003568	0.455296095332632	1.55789003716016	6.4346721313968	0.0111913813099381	0.14032113317625
ENSGMOG00000004696	0.250646650683538	6.5440046896457	6.43172797848027	0.0112099467527516	0.140363053259212
ENSGMOG00000001911	-0.311257214096088	4.21972366965208	6.43122710570891	0.0112131083351728	0.140363053259212
