#Coverage (X)	Coverage
1.0	2.668379999999999
2.0	1.2787000000000006
3.0	0.8421699999999959
4.0	0.6233199999999925
5.0	0.4827799999999911
6.0	0.39074999999999704
7.0	0.32838999999999885
8.0	0.2850999999999999
9.0	0.25248999999999455
10.0	0.22576999999999714
11.0	0.20734999999999104
12.0	0.19206999999998686
13.0	0.18108999999998332
14.0	0.17174999999998875
15.0	0.16414999999999225
16.0	0.15771999999999764
17.0	0.15115000000000123
18.0	0.14485999999999422
19.0	0.13960999999999046
20.0	0.13459999999999184
21.0	0.13097999999999388
22.0	0.1268699999999967
23.0	0.12304999999999211
24.0	0.11952999999999747
25.0	0.11669999999999447
26.0	0.11400999999999328
27.0	0.11045000000000016
28.0	0.1072900000000061
29.0	0.1044300000000078
30.0	0.10211000000001036
31.0	0.09986000000000672
32.0	0.09790000000000987
33.0	0.09543000000000745
34.0	0.09324000000000865
35.0	0.09105000000000985
36.0	0.08918000000001314
37.0	0.08769000000000915
38.0	0.08626000000001
39.0	0.08464000000000738
40.0	0.08271000000000583
41.0	0.08111000000000956
42.0	0.07958000000000709
43.0	0.07832000000000505
44.0	0.07707000000000619
45.0	0.07596000000000913
46.0	0.07474000000000558
47.0	0.07366000000000383
48.0	0.07237000000000648
49.0	0.07157000000000835
50.0	0.07108000000000914
51.0	0.07040000000000646
