#Position (bp)	Coverage
12500.5	2.40584
37500.5	1.16312
62500.5	1.08932
87500.5	1.2946
112500.5	2.426
137500.5	3.99004
162500.5	5.46472
187500.5	6.12256
212500.5	2.08764
237500.5	2.0
262500.5	2.12756
287500.5	1.0408
312500.5	1.0
337500.5	1.085
362500.5	2.01724
387500.5	2.0066
412500.5	2.0066
437500.5	1.3254
462500.5	1.3098
487500.5	1.99372
512500.5	1.2238
537500.5	0.39432
562500.5	0.0
587500.5	0.40976
612500.5	2.95804
637500.5	157.8882
662500.5	1.01764
687500.5	1.00504
712500.5	1.03776
737500.5	1.18128
762500.5	1.26684
787500.5	1.23332
812500.5	1.1104
837500.5	1.04776
862500.5	1.2884
887500.5	0.82112
912500.5	0.0
937500.5	0.74992
962500.5	2.1136
987500.5	1.16908
1012500.5	2.03844
1037500.5	1.4512
1062500.5	1.63688
1087500.5	1.04272
1112500.5	1.90504
1137500.5	2.74004
1162500.5	2.28416
1187500.5	2.34772
1212500.5	9.00064
1237500.5	4.8706
1262500.5	3.23592
1287500.5	0.78488
1312500.5	2.19748
1337500.5	2.03288
1362500.5	7.62
1387500.5	5.43976
1412500.5	3.944
1437500.5	0.55908
1462500.5	0.9048
1487500.5	3.98384
1512500.5	5.03376
1537500.5	11.60032
1562500.5	18.09976
1587500.5	2.7458
1612500.5	2.84456
1637500.5	5.56928
1662500.5	6.79388
1687500.5	4.67916
1712500.5	2.38396
1737500.5	1.71004
1762500.5	4.3168
1787500.5	17.73956
1812500.5	29.07804
1837500.5	16.8668
1862500.5	10.9488
1887500.5	6.02216
1912500.5	2.11176
1937500.5	3.21144
1962500.5	3.982
1987500.5	3.57604
2012500.5	1.59108
2037500.5	1.07844
2062500.5	1.99944
2087500.5	3.35284
2112500.5	3.48068
2137500.5	2.38392
2162500.5	4.4622
2187500.5	4.61396
2212500.5	2.80108
2237500.5	2.9722
2262500.5	3.0
2287500.5	3.01008
2312500.5	2.18052
2337500.5	1.0
2362500.5	1.494
2387500.5	5.03376
2412500.5	5.00056
2437500.5	0.00252
2462500.5	0.0
2487500.5	0.00504
2512500.5	0.22164
2537500.5	0.00488
2562500.5	0.35756
2587500.5	0.27184
2612500.5	0.97444
2637500.5	0.02952
2662500.5	0.0
2687500.5	0.0
2712500.5	0.0
2737500.5	0.0
2762500.5	0.0
2787500.5	0.0
2812500.5	0.0
2837500.5	0.46412
2862500.5	0.91012
2887500.5	0.0
2912500.5	0.0
2937500.5	0.0
2962500.5	0.28808
2987500.5	1.00504
3012500.5	0.42868
3037500.5	0.00504
3062500.5	0.0
3087500.5	0.44504
3112500.5	1.00236
3137500.5	0.7498
3162500.5	0.0
3187500.5	0.0
3212500.5	0.0
3237500.5	0.0
3262500.5	0.05996
3287500.5	0.0
3312500.5	0.0
3337500.5	0.00252
3362500.5	0.0
3387500.5	0.00504
3412500.5	0.0
3437500.5	0.0246
3462500.5	0.0
3487500.5	0.73264
3512500.5	0.45848
3537500.5	0.74172
3562500.5	0.0
3587500.5	0.00252
3612500.5	0.0
3637500.5	2.741
3662500.5	0.0
3687500.5	0.0
3712500.5	0.00252
3737500.5	0.66096
3762500.5	0.65616
3787500.5	2.87508
3812500.5	1.85456
3837500.5	4.08428
3862500.5	2.43568
3887500.5	4.11088
3912500.5	2.03332
3937500.5	1.58372
3962500.5	1.00504
3987500.5	1.0
4012500.5	1.00252
4037500.5	1.07256
4062500.5	1.01452
4087500.5	1.00492
4112500.5	1.40272
4137500.5	1.18476
4162500.5	0.2082
4187500.5	0.00504
4212500.5	0.00252
4237500.5	1.06164
4262500.5	1.00252
4287500.5	1.0
4312500.5	1.30852
4337500.5	0.05328
4362500.5	0.00468
4387500.5	0.0
4412500.5	0.0
4437500.5	0.0
4462500.5	0.50876
4487500.5	0.00496
4512500.5	0.00252
4537500.5	0.0
4562500.5	0.0074
4587500.5	0.01468
4612500.5	0.00252
4637500.5	0.18884
4662500.5	1.0
4687500.5	1.00212
4712500.5	0.7674
4737500.5	0.0
4762500.5	0.0
4787500.5	0.80568
4812500.5	1.0022
4837500.5	1.005
4862500.5	1.10144
4887500.5	0.79596
4912500.5	0.00252
4937500.5	0.78472
4962500.5	1.0
4987500.5	0.89588
5012500.5	0.00724
5037500.5	0.00996
5062500.5	0.00732
5087500.5	0.00484
5112500.5	0.01716
5137500.5	0.0
5162500.5	0.0
5187500.5	0.02984
5212500.5	0.00252
5237500.5	0.0
5262500.5	0.0
5287500.5	0.0
5312500.5	0.64492
5337500.5	0.27604
5362500.5	0.00252
5387500.5	0.00252
5412500.5	0.0
5437500.5	0.00504
5462500.5	0.0122
5487500.5	0.0
5512500.5	0.00504
5537500.5	0.0
5562500.5	0.015
5587500.5	0.0
5612500.5	0.00728
5637500.5	0.00756
5662500.5	1.22016
5687500.5	2.02688
5712500.5	0.01208
5737500.5	0.02004
5762500.5	0.00472
5787500.5	0.05744
5812500.5	0.05116
5837500.5	0.01836
5862500.5	0.00504
5887500.5	0.02216
5912500.5	0.0
5937500.5	0.78044
5962500.5	1.01344
5987500.5	1.64392
6012500.5	1.05196
6037500.5	0.0
6062500.5	0.57032
6087500.5	1.57724
6112500.5	3.12668
6137500.5	3.0
6162500.5	3.51404
6187500.5	58.3584
6212500.5	4.70636
6237500.5	4.53488
6262500.5	4.20164
6287500.5	5.35976
6312500.5	5.43068
6337500.5	3.35552
6362500.5	3.857
6387500.5	7.4012
6412500.5	1.97624
6437500.5	1.95496
6462500.5	1.17648
6487500.5	1.00236
6512500.5	0.88052
6537500.5	2.10104
6562500.5	0.93004
6587500.5	3.98516
6612500.5	3.49212
6637500.5	5.15804
6662500.5	6.17856
