#Coverage (X)	Coverage
1.0	3.4101599999999905
2.0	1.5953999999999837
3.0	1.0415199999999771
4.0	0.787809999999979
5.0	0.6400299999999817
6.0	0.5398999999999887
7.0	0.46105999999998915
8.0	0.4041999999999888
9.0	0.3597999999999928
10.0	0.3269299999999902
11.0	0.29730999999999597
12.0	0.27168999999999244
13.0	0.2509499999999889
14.0	0.23381999999999437
15.0	0.2182499999999976
16.0	0.20208999999999833
17.0	0.18944000000000472
18.0	0.17703000000000202
19.0	0.1661799999999971
20.0	0.155469999999994
21.0	0.1468500000000006
22.0	0.13890000000000668
23.0	0.13209000000000515
24.0	0.12593999999999994
25.0	0.12031000000000347
26.0	0.11575000000000557
27.0	0.11134000000001265
28.0	0.1078600000000165
29.0	0.10469000000001927
30.0	0.102310000000017
31.0	0.10024000000001365
32.0	0.09814000000001499
33.0	0.09553000000001077
34.0	0.09366000000001407
35.0	0.09203000000000827
36.0	0.09068000000000609
37.0	0.08926999999999907
38.0	0.08729999999999905
39.0	0.08593000000000472
40.0	0.08468000000000586
41.0	0.08353000000001032
42.0	0.08249000000000706
43.0	0.08173000000000741
44.0	0.08087000000000444
45.0	0.0798600000000107
46.0	0.07882000000000744
47.0	0.077770000000001
48.0	0.0766399999999976
49.0	0.07568999999999448
50.0	0.07483999999999469
51.0	0.07374999999998977
