ENSGMOG00000000119,ENSGMOT00000000122.1
ENSGMOG00000000119,ENSGMOT00000000127.1
ENSGMOG00000000120,ENSGMOT00000000125.1
ENSGMOG00000000121,ENSGMOT00000000129.1
ENSGMOG00000000122,ENSGMOT00000000126.1
ENSGMOG00000000123,ENSGMOT00000000128.1
ENSGMOG00000000124,ENSGMOT00000000131.1
ENSGMOG00000000125,ENSGMOT00000000130.1
ENSGMOG00000000126,ENSGMOT00000000136.1
ENSGMOG00000000127,ENSGMOT00000000132.1
ENSGMOG00000000128,ENSGMOT00000000134.1
ENSGMOG00000000129,ENSGMOT00000000135.1
ENSGMOG00000000130,ENSGMOT00000000133.1
ENSGMOG00000000131,ENSGMOT00000000137.1
ENSGMOG00000000132,ENSGMOT00000000141.1
ENSGMOG00000000133,ENSGMOT00000000164.1
ENSGMOG00000000133,ENSGMOT00000000171.1
ENSGMOG00000000133,ENSGMOT00000000173.1
ENSGMOG00000000134,ENSGMOT00000000138.1
ENSGMOG00000000135,ENSGMOT00000000140.1
ENSGMOG00000000136,ENSGMOT00000000139.1
ENSGMOG00000000137,ENSGMOT00000000142.1
ENSGMOG00000000138,ENSGMOT00000000143.1
ENSGMOG00000000139,ENSGMOT00000000144.1
ENSGMOG00000000140,ENSGMOT00000000145.1
ENSGMOG00000000141,ENSGMOT00000000158.1
ENSGMOG00000000142,ENSGMOT00000000146.1
ENSGMOG00000000143,ENSGMOT00000000148.1
ENSGMOG00000000144,ENSGMOT00000000147.1
ENSGMOG00000000145,ENSGMOT00000000150.1
ENSGMOG00000000146,ENSGMOT00000000156.1
ENSGMOG00000000147,ENSGMOT00000000154.1
ENSGMOG00000000148,ENSGMOT00000000149.1
ENSGMOG00000000149,ENSGMOT00000000152.1
ENSGMOG00000000150,ENSGMOT00000000151.1
ENSGMOG00000000151,ENSGMOT00000000166.1
ENSGMOG00000000151,ENSGMOT00000000169.1
ENSGMOG00000000152,ENSGMOT00000000161.1
ENSGMOG00000000153,ENSGMOT00000000153.1
ENSGMOG00000000154,ENSGMOT00000000157.1
ENSGMOG00000000155,ENSGMOT00000000159.1
ENSGMOG00000000156,ENSGMOT00000000155.1
ENSGMOG00000000157,ENSGMOT00000000160.1
ENSGMOG00000000158,ENSGMOT00000000165.1
ENSGMOG00000000159,ENSGMOT00000000162.1
ENSGMOG00000000160,ENSGMOT00000000163.1
ENSGMOG00000000161,ENSGMOT00000000167.1
ENSGMOG00000000162,ENSGMOT00000000170.1
ENSGMOG00000000163,ENSGMOT00000000168.1
ENSGMOG00000000164,ENSGMOT00000000175.1
ENSGMOG00000000165,ENSGMOT00000000172.1
ENSGMOG00000000166,ENSGMOT00000000174.1
ENSGMOG00000000167,ENSGMOT00000000176.1
ENSGMOG00000000168,ENSGMOT00000000177.1
ENSGMOG00000000169,ENSGMOT00000000179.1
ENSGMOG00000000170,ENSGMOT00000000178.1
ENSGMOG00000000171,ENSGMOT00000000180.1
ENSGMOG00000000172,ENSGMOT00000000181.1
ENSGMOG00000000173,ENSGMOT00000000184.1
ENSGMOG00000000174,ENSGMOT00000000189.1
ENSGMOG00000000175,ENSGMOT00000000183.1
ENSGMOG00000000176,ENSGMOT00000000182.1
ENSGMOG00000000177,ENSGMOT00000000186.1
ENSGMOG00000000178,ENSGMOT00000000187.1
ENSGMOG00000000179,ENSGMOT00000000190.1
ENSGMOG00000000180,ENSGMOT00000000185.1
ENSGMOG00000000181,ENSGMOT00000000196.1
ENSGMOG00000000182,ENSGMOT00000000195.1
ENSGMOG00000000183,ENSGMOT00000000188.1
ENSGMOG00000000184,ENSGMOT00000000194.1
ENSGMOG00000000185,ENSGMOT00000000191.1
ENSGMOG00000000186,ENSGMOT00000000193.1
ENSGMOG00000000187,ENSGMOT00000000192.1
ENSGMOG00000000188,ENSGMOT00000000213.1
ENSGMOG00000000189,ENSGMOT00000000204.1
ENSGMOG00000000190,ENSGMOT00000000198.1
ENSGMOG00000000190,ENSGMOT00000000206.1
ENSGMOG00000000190,ENSGMOT00000000199.1
ENSGMOG00000000190,ENSGMOT00000000200.1
ENSGMOG00000000191,ENSGMOT00000000197.1
ENSGMOG00000000192,ENSGMOT00000000207.1
ENSGMOG00000000193,ENSGMOT00000000201.1
ENSGMOG00000000194,ENSGMOT00000000205.1
ENSGMOG00000000195,ENSGMOT00000000202.1
ENSGMOG00000000196,ENSGMOT00000000203.1
ENSGMOG00000000197,ENSGMOT00000000214.1
ENSGMOG00000000198,ENSGMOT00000000211.1
ENSGMOG00000000199,ENSGMOT00000000212.1
ENSGMOG00000000200,ENSGMOT00000000218.1
ENSGMOG00000000201,ENSGMOT00000000223.1
ENSGMOG00000000202,ENSGMOT00000000216.1
ENSGMOG00000000203,ENSGMOT00000000208.1
ENSGMOG00000000204,ENSGMOT00000000215.1
ENSGMOG00000000205,ENSGMOT00000000210.1
ENSGMOG00000000206,ENSGMOT00000000209.1
ENSGMOG00000000207,ENSGMOT00000000225.1
ENSGMOG00000000208,ENSGMOT00000000233.1
ENSGMOG00000000209,ENSGMOT00000000220.1
ENSGMOG00000000210,ENSGMOT00000000217.1
ENSGMOG00000000211,ENSGMOT00000000221.1
ENSGMOG00000000212,ENSGMOT00000000222.1
ENSGMOG00000000213,ENSGMOT00000000219.1
ENSGMOG00000000214,ENSGMOT00000000229.1
ENSGMOG00000000215,ENSGMOT00000000224.1
ENSGMOG00000000216,ENSGMOT00000000226.1
ENSGMOG00000000217,ENSGMOT00000000230.1
ENSGMOG00000000218,ENSGMOT00000000232.1
ENSGMOG00000000219,ENSGMOT00000000227.1
ENSGMOG00000000220,ENSGMOT00000000228.1
ENSGMOG00000000221,ENSGMOT00000000235.1
ENSGMOG00000000222,ENSGMOT00000000239.1
ENSGMOG00000000223,ENSGMOT00000000241.1
ENSGMOG00000000224,ENSGMOT00000000231.1
ENSGMOG00000000225,ENSGMOT00000000234.1
ENSGMOG00000000226,ENSGMOT00000000244.1
ENSGMOG00000000227,ENSGMOT00000000248.1
ENSGMOG00000000228,ENSGMOT00000000237.1
ENSGMOG00000000229,ENSGMOT00000000238.1
ENSGMOG00000000230,ENSGMOT00000000236.1
ENSGMOG00000000231,ENSGMOT00000000243.1
ENSGMOG00000000231,ENSGMOT00000000255.1
ENSGMOG00000000232,ENSGMOT00000000240.1
ENSGMOG00000000233,ENSGMOT00000000242.1
ENSGMOG00000000234,ENSGMOT00000000252.1
ENSGMOG00000000235,ENSGMOT00000000247.1
ENSGMOG00000000236,ENSGMOT00000000249.1
ENSGMOG00000000237,ENSGMOT00000000246.1
ENSGMOG00000000238,ENSGMOT00000000251.1
ENSGMOG00000000239,ENSGMOT00000000245.1
ENSGMOG00000000240,ENSGMOT00000000250.1
ENSGMOG00000000241,ENSGMOT00000000254.1
ENSGMOG00000000242,ENSGMOT00000000253.1
ENSGMOG00000000243,ENSGMOT00000000263.1
ENSGMOG00000000244,ENSGMOT00000000257.1
ENSGMOG00000000245,ENSGMOT00000000258.1
ENSGMOG00000000246,ENSGMOT00000000260.1
ENSGMOG00000000247,ENSGMOT00000000264.1
ENSGMOG00000000248,ENSGMOT00000000259.1
ENSGMOG00000000249,ENSGMOT00000000256.1
ENSGMOG00000000250,ENSGMOT00000000270.1
ENSGMOG00000000251,ENSGMOT00000000266.1
ENSGMOG00000000252,ENSGMOT00000000261.1
ENSGMOG00000000253,ENSGMOT00000000262.1
ENSGMOG00000000254,ENSGMOT00000000306.1
ENSGMOG00000000254,ENSGMOT00000000316.1
ENSGMOG00000000254,ENSGMOT00000000325.1
ENSGMOG00000000255,ENSGMOT00000000272.1
ENSGMOG00000000256,ENSGMOT00000000269.1
ENSGMOG00000000257,ENSGMOT00000000265.1
ENSGMOG00000000258,ENSGMOT00000000267.1
ENSGMOG00000000259,ENSGMOT00000000268.1
ENSGMOG00000000260,ENSGMOT00000000275.1
ENSGMOG00000000261,ENSGMOT00000000274.1
ENSGMOG00000000262,ENSGMOT00000000271.1
ENSGMOG00000000263,ENSGMOT00000000283.1
ENSGMOG00000000263,ENSGMOT00000000286.1
ENSGMOG00000000264,ENSGMOT00000000281.1
ENSGMOG00000000265,ENSGMOT00000000276.1
ENSGMOG00000000266,ENSGMOT00000000278.1
ENSGMOG00000000267,ENSGMOT00000000273.1
ENSGMOG00000000268,ENSGMOT00000000277.1
ENSGMOG00000000269,ENSGMOT00000000285.1
ENSGMOG00000000270,ENSGMOT00000000280.1
ENSGMOG00000000271,ENSGMOT00000000279.1
ENSGMOG00000000272,ENSGMOT00000000282.1
ENSGMOG00000000273,ENSGMOT00000000284.1
ENSGMOG00000000274,ENSGMOT00000000295.1
ENSGMOG00000000275,ENSGMOT00000000288.1
ENSGMOG00000000276,ENSGMOT00000000287.1
ENSGMOG00000000277,ENSGMOT00000000298.1
ENSGMOG00000000278,ENSGMOT00000000289.1
ENSGMOG00000000279,ENSGMOT00000000291.1
ENSGMOG00000000280,ENSGMOT00000000290.1
ENSGMOG00000000281,ENSGMOT00000000293.1
ENSGMOG00000000282,ENSGMOT00000000292.1
ENSGMOG00000000283,ENSGMOT00000000294.1
ENSGMOG00000000284,ENSGMOT00000000302.1
ENSGMOG00000000285,ENSGMOT00000000296.1
ENSGMOG00000000286,ENSGMOT00000000297.1
ENSGMOG00000000287,ENSGMOT00000000301.1
ENSGMOG00000000288,ENSGMOT00000000299.1
ENSGMOG00000000289,ENSGMOT00000000300.1
ENSGMOG00000000290,ENSGMOT00000000333.1
ENSGMOG00000000291,ENSGMOT00000000309.1
ENSGMOG00000000292,ENSGMOT00000000304.1
ENSGMOG00000000293,ENSGMOT00000000310.1
ENSGMOG00000000294,ENSGMOT00000000303.1
ENSGMOG00000000295,ENSGMOT00000000305.1
ENSGMOG00000000296,ENSGMOT00000000307.1
ENSGMOG00000000297,ENSGMOT00000000308.1
ENSGMOG00000000298,ENSGMOT00000000311.1
ENSGMOG00000000299,ENSGMOT00000000313.1
ENSGMOG00000000300,ENSGMOT00000000312.1
ENSGMOG00000000301,ENSGMOT00000000317.1
ENSGMOG00000000302,ENSGMOT00000000319.1
ENSGMOG00000000303,ENSGMOT00000000329.1
ENSGMOG00000000304,ENSGMOT00000000315.1
ENSGMOG00000000305,ENSGMOT00000000314.1
ENSGMOG00000000306,ENSGMOT00000000321.1
ENSGMOG00000000307,ENSGMOT00000000318.1
ENSGMOG00000000308,ENSGMOT00000000328.1
ENSGMOG00000000309,ENSGMOT00000000330.1
ENSGMOG00000000310,ENSGMOT00000000324.1
ENSGMOG00000000311,ENSGMOT00000000320.1
ENSGMOG00000000312,ENSGMOT00000000326.1
ENSGMOG00000000313,ENSGMOT00000000322.1
ENSGMOG00000000314,ENSGMOT00000000323.1
ENSGMOG00000000315,ENSGMOT00000000327.1
ENSGMOG00000000316,ENSGMOT00000000334.1
ENSGMOG00000000317,ENSGMOT00000000336.1
ENSGMOG00000000318,ENSGMOT00000000331.1
ENSGMOG00000000319,ENSGMOT00000000332.1
ENSGMOG00000000320,ENSGMOT00000000353.1
ENSGMOG00000000320,ENSGMOT00000000362.1
ENSGMOG00000000321,ENSGMOT00000000339.1
ENSGMOG00000000322,ENSGMOT00000000335.1
