ENSGMOG00000002534	946
ENSGMOG00000002780	649
ENSGMOG00000002799	0
ENSGMOG00000002820	100
ENSGMOG00000002838	1160
ENSGMOG00000002848	325
ENSGMOG00000002858	264
ENSGMOG00000002885	678
ENSGMOG00000002906	25
ENSGMOG00000003254	450
ENSGMOG00000020737	1
ENSGMOG00000003271	195
ENSGMOG00000003294	30153
ENSGMOG00000003308	2541
ENSGMOG00000003346	1
ENSGMOG00000003356	1998
ENSGMOG00000003382	15225
ENSGMOG00000020188	106
ENSGMOG00000003406	1614
ENSGMOG00000003429	775
ENSGMOG00000003455	56
ENSGMOG00000020189	0
ENSGMOG00000003497	21
ENSGMOG00000003507	58
ENSGMOG00000003523	38
ENSGMOG00000003530	1227
ENSGMOG00000003670	342
ENSGMOG00000003683	2916
ENSGMOG00000003714	177
ENSGMOG00000003732	0
ENSGMOG00000003756	3115
ENSGMOG00000003844	69
ENSGMOG00000003917	526
ENSGMOG00000003948	2988
ENSGMOG00000004001	291
ENSGMOG00000004050	789
ENSGMOG00000004066	124
ENSGMOG00000004095	745
ENSGMOG00000004118	0
ENSGMOG00000004160	13
ENSGMOG00000004229	142
ENSGMOG00000020190	2
ENSGMOG00000004238	615
ENSGMOG00000004290	110
ENSGMOG00000004299	1
ENSGMOG00000004361	7899
ENSGMOG00000004405	3
ENSGMOG00000004419	0
ENSGMOG00000004438	0
ENSGMOG00000004449	0
ENSGMOG00000004455	3901
ENSGMOG00000004496	2018
ENSGMOG00000004513	1104
ENSGMOG00000004557	30
ENSGMOG00000004579	9
ENSGMOG00000004806	1
ENSGMOG00000004827	750
ENSGMOG00000004853	596
ENSGMOG00000004892	422
ENSGMOG00000004907	333
ENSGMOG00000004949	2665
ENSGMOG00000004974	1
ENSGMOG00000004989	1
ENSGMOG00000005030	91
ENSGMOG00000005082	25
ENSGMOG00000005087	1
ENSGMOG00000005111	471
ENSGMOG00000005121	4838
ENSGMOG00000005145	2947
ENSGMOG00000005183	269
ENSGMOG00000005212	3998
ENSGMOG00000005225	2301
ENSGMOG00000005238	72
ENSGMOG00000005253	132
ENSGMOG00000005283	311
ENSGMOG00000005306	1134
ENSGMOG00000005338	9
ENSGMOG00000005366	1438
ENSGMOG00000005419	2
ENSGMOG00000005434	129
ENSGMOG00000020191	2719
ENSGMOG00000005450	1986
ENSGMOG00000005532	1
ENSGMOG00000005560	0
ENSGMOG00000005579	0
ENSGMOG00000005594	2435
ENSGMOG00000005602	14131
ENSGMOG00000005643	1186
ENSGMOG00000005658	1
ENSGMOG00000005668	874
ENSGMOG00000005691	5
ENSGMOG00000005701	2291
ENSGMOG00000005722	2324
ENSGMOG00000005751	6847
ENSGMOG00000005823	1
ENSGMOG00000005836	329
ENSGMOG00000005875	2019
ENSGMOG00000005895	2009
ENSGMOG00000020192	49
ENSGMOG00000005939	1081
ENSGMOG00000005960	177
ENSGMOG00000006000	7
ENSGMOG00000006012	46
ENSGMOG00000006030	1042
ENSGMOG00000006039	38
ENSGMOG00000006052	0
ENSGMOG00000006056	873
ENSGMOG00000006065	2
ENSGMOG00000006089	3700
ENSGMOG00000020193	43
ENSGMOG00000006110	199
ENSGMOG00000006134	647
ENSGMOG00000006151	43
ENSGMOG00000006166	601
ENSGMOG00000006173	4597
ENSGMOG00000021891	0
ENSGMOG00000006212	1409
ENSGMOG00000006286	874
ENSGMOG00000006320	91
ENSGMOG00000006349	186
ENSGMOG00000006358	8599
ENSGMOG00000006377	806
ENSGMOG00000006389	587
ENSGMOG00000020194	84
ENSGMOG00000006398	2
ENSGMOG00000006445	0
ENSGMOG00000006455	0
ENSGMOG00000021301	0
ENSGMOG00000006477	0
ENSGMOG00000006482	184
ENSGMOG00000006498	4
ENSGMOG00000006508	4
ENSGMOG00000020195	0
ENSGMOG00000020196	0
ENSGMOG00000006517	505
ENSGMOG00000006528	12
ENSGMOG00000006535	210
ENSGMOG00000006558	12056
ENSGMOG00000006566	656
ENSGMOG00000006586	219
ENSGMOG00000006623	93
ENSGMOG00000006630	1
ENSGMOG00000006638	2843
ENSGMOG00000006646	14
ENSGMOG00000006654	712
ENSGMOG00000006670	2134
ENSGMOG00000006684	0
ENSGMOG00000006688	1
ENSGMOG00000006710	0
ENSGMOG00000006720	2997
ENSGMOG00000006742	2707
ENSGMOG00000006755	757
ENSGMOG00000006761	6049
ENSGMOG00000006782	1455
ENSGMOG00000006799	1340
ENSGMOG00000006817	1050
ENSGMOG00000006827	1492
ENSGMOG00000006840	3025
ENSGMOG00000006863	0
ENSGMOG00000006871	10
ENSGMOG00000006883	582
ENSGMOG00000006912	7157
ENSGMOG00000006931	2969
ENSGMOG00000006946	98
ENSGMOG00000006954	79
ENSGMOG00000006958	334
