ID	sample_2	sample_7	sample_13	sample_19	sample_26	sample_32	sample_45
ENSGMOG00000006173	5653	6546	6257	4438	3875	1954	4627
ENSGMOG00000021891	0	0	0	0	0	0	0
ENSGMOG00000006212	960	1170	803	801	768	444	1600
ENSGMOG00000006286	181	341	466	353	308	437	841
ENSGMOG00000006320	46	80	79	73	51	42	120
ENSGMOG00000006349	88	134	65	109	104	99	196
ENSGMOG00000006358	1901	3871	1395	3186	2311	3133	9591
ENSGMOG00000006377	438	681	423	414	630	347	1045
ENSGMOG00000006389	145	204	246	196	143	103	515
ENSGMOG00000020194	19	33	42	129	55	20	91
ENSGMOG00000006398	2	2	59	4	11	11	0
ENSGMOG00000006445	0	0	0	0	0	0	0
ENSGMOG00000006455	0	0	1	2	0	0	0
ENSGMOG00000021301	0	0	0	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0	0
ENSGMOG00000006482	3	7	36	47	32	63	147
ENSGMOG00000006498	21	27	14	6	15	28	0
ENSGMOG00000006508	1	3	4	6	9	0	2
ENSGMOG00000020195	3	3	0	0	7	0	0
ENSGMOG00000020196	0	2	1	0	4	1	0
ENSGMOG00000006517	324	458	355	356	355	175	604
ENSGMOG00000006528	0	1	13	19	6	12	19
ENSGMOG00000006535	111	358	244	251	326	125	161
ENSGMOG00000006558	13807	21420	20149	13994	11081	4510	11969
ENSGMOG00000006566	929	1213	640	1329	597	222	834
ENSGMOG00000006586	168	397	511	391	102	92	168
ENSGMOG00000006623	20	33	211	359	140	56	70
ENSGMOG00000006630	1	6	15	19	11	2	5
ENSGMOG00000006638	1396	2137	1575	2109	1365	866	2526
ENSGMOG00000006646	4	15	9	10	5	1	4
ENSGMOG00000006654	294	318	320	244	237	118	748
ENSGMOG00000006670	911	1472	1321	1262	914	515	2338
ENSGMOG00000006684	0	0	0	0	3	0	0
ENSGMOG00000006688	1	4	11	0	0	0	3
ENSGMOG00000006710	0	0	0	0	0	0	0
ENSGMOG00000006720	2822	2941	3109	1561	1516	262	2982
ENSGMOG00000006742	1589	1883	1247	1257	1127	699	2977
ENSGMOG00000006755	631	889	565	806	732	1455	1018
ENSGMOG00000006761	4650	4721	4491	3566	3043	711	4999
ENSGMOG00000006782	1888	3006	2343	2579	1815	1071	1284
ENSGMOG00000006799	657	849	898	856	655	258	1518
ENSGMOG00000006817	1356	2037	1392	1537	1238	1436	1053
ENSGMOG00000006827	907	1292	983	1053	703	510	1413
ENSGMOG00000006840	689	1448	739	2939	1506	677	3148
ENSGMOG00000006863	0	0	0	0	0	0	0
ENSGMOG00000006871	6	8	16	6	5	7	13
ENSGMOG00000006883	67	58	712	715	107	134	829
ENSGMOG00000006912	4051	5281	2808	4738	2681	516	6299
ENSGMOG00000006931	1272	1744	2075	1558	1322	972	3487
ENSGMOG00000006946	32	49	83	52	23	10	57
ENSGMOG00000006954	20	64	68	50	30	6	67
ENSGMOG00000006958	400	305	315	314	215	18	304
ENSGMOG00000006967	1	1	0	0	0	0	0
ENSGMOG00000006974	13639	15361	10530	7855	8274	4314	15727
ENSGMOG00000006987	16	117	21	66	61	3	0
ENSGMOG00000006992	0	0	1	2	1	0	5
ENSGMOG00000007000	5903	6943	90	726	1884	53	1635
ENSGMOG00000007035	73	116	102	108	107	13	86
ENSGMOG00000007044	1526	2520	1557	1791	1741	1227	2340
ENSGMOG00000007050	461	778	570	651	574	899	477
ENSGMOG00000005536	420	863	505	574	539	514	229
ENSGMOG00000005565	343	2132	366	855	799	163	35005
ENSGMOG00000005590	1231	992	879	1141	996	442	2178
ENSGMOG00000005625	378	399	502	358	402	184	844
ENSGMOG00000005633	39	96	99	34	45	6	129
ENSGMOG00000005648	3	5	6	1	2	0	3
ENSGMOG00000005652	2192	5463	4871	2354	4345	2929	3362
ENSGMOG00000005676	197	58	60	22	14	27	17
ENSGMOG00000005698	80	221	37	33	15	52	21
ENSGMOG00000005753	1402	2050	1509	1277	1087	979	2857
ENSGMOG00000005773	1217	1004	629	741	540	1239	499
ENSGMOG00000005794	3578	2107	2646	1218	1602	389	4932
ENSGMOG00000005808	607	1058	1187	702	654	145	860
ENSGMOG00000005838	3	18	9	2	1	0	5
ENSGMOG00000005866	727	299	298	74	86	319	89
ENSGMOG00000005931	15	2	19	3	4	7	4
ENSGMOG00000005989	0	3	0	0	0	0	0
ENSGMOG00000005992	129	180	320	370	248	124	177
ENSGMOG00000006011	7	3	3	1	2	0	6
ENSGMOG00000006023	158	269	216	176	206	113	546
ENSGMOG00000006041	2694	5012	4157	3043	3135	2073	3240
ENSGMOG00000006066	908	1063	1870	788	903	402	984
ENSGMOG00000006097	2181	2208	2173	2742	1887	2551	1464
ENSGMOG00000006108	0	0	2	1	18	0	4
ENSGMOG00000006125	0	0	2	1	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0	0
ENSGMOG00000006155	362	255	430	212	230	37	233
ENSGMOG00000006181	1	6	1	0	3	0	3
ENSGMOG00000006190	1	4	3	0	4	1	16
ENSGMOG00000006241	698	1028	648	617	741	450	1917
ENSGMOG00000006322	106	313	159	127	106	86	479
ENSGMOG00000006338	69	209	111	85	301	311	3
ENSGMOG00000006344	1044	1504	1218	712	1060	611	2406
ENSGMOG00000006403	427	627	685	363	240	179	733
ENSGMOG00000006419	1162	1365	974	1224	1039	925	1972
ENSGMOG00000006429	53	39	9	10	9	2	49
ENSGMOG00000006458	538	785	579	656	577	501	1286
ENSGMOG00000006474	0	1	0	1	0	5	0
ENSGMOG00000006494	11	6	13	1	2	1	19
ENSGMOG00000006502	0	0	0	0	0	0	0
ENSGMOG00000006511	0	2	0	0	0	0	1
ENSGMOG00000006521	1508	1861	1206	1439	984	733	2009
ENSGMOG00000006539	0	0	2	0	0	0	0
ENSGMOG00000006545	6898	6684	7540	4188	3050	294	6649
ENSGMOG00000006599	0	0	0	2	0	0	0
ENSGMOG00000006609	5	16	1	8	9	8	3
ENSGMOG00000006616	10	21	16	7	10	0	17
ENSGMOG00000006625	333	601	530	332	452	343	1509
ENSGMOG00000006631	36	85	39	33	75	58	50
ENSGMOG00000006649	12	4	29	17	11	3	13
ENSGMOG00000006663	47	36	62	12	49	6	43
ENSGMOG00000006668	270	340	530	315	224	77	474
ENSGMOG00000006724	152	187	176	139	219	7	146
ENSGMOG00000006758	286	327	277	224	178	59	268
ENSGMOG00000006772	408	1077	1502	1273	1465	1825	782
ENSGMOG00000006774	14	19	33	23	24	16	61
ENSGMOG00000006780	54	59	66	67	49	9	112
ENSGMOG00000006787	30	27	30	18	11	6	27
ENSGMOG00000006790	304	313	390	353	228	199	567
ENSGMOG00000006832	563	755	801	715	455	290	1119
ENSGMOG00000007041	99	75	105	44	72	75	80
ENSGMOG00000007051	136	232	266	221	169	107	209
ENSGMOG00000007067	13	60	9	38	22	43	8
ENSGMOG00000007079	563	1257	656	759	714	883	715
ENSGMOG00000007147	1696	1977	1268	1426	1036	520	1249
ENSGMOG00000007217	1	9	7	5	11	0	4
ENSGMOG00000007132	111	238	241	142	135	115	325
ENSGMOG00000007143	0	3	10	1	4	0	4
ENSGMOG00000007164	0	0	0	1	0	0	0
ENSGMOG00000007175	1	2	1	0	0	0	6
ENSGMOG00000007184	0	0	1	0	0	0	0
ENSGMOG00000007187	47	136	77	48	51	36	71
ENSGMOG00000007195	471	209	313	317	165	67	324
ENSGMOG00000007199	69327	31254	42270	10522	19542	34972	115029
ENSGMOG00000007205	99	100	345	162	222	737	257
ENSGMOG00000007220	1156	1488	953	1217	735	1193	1456
ENSGMOG00000007223	554	583	652	750	421	484	1138
ENSGMOG00000007225	54	59	301	518	193	219	144
ENSGMOG00000007234	20	15	13	7	30	11	19
ENSGMOG00000007261	3476	4649	5254	5372	3125	1623	5251
ENSGMOG00000007291	21	40	51	49	22	8	35
ENSGMOG00000007296	26	63	86	27	59	1	52
ENSGMOG00000007304	417	729	3290	3786	2067	1286	1597
ENSGMOG00000007312	1103	884	977	1028	778	295	1125
ENSGMOG00000007318	177	225	273	169	140	81	334
