ID	sample_10	sample_23	sample_29	sample_36	sample_42	sample_49
ENSGMOG00000006398	6	1	3	13	1	5
ENSGMOG00000006445	0	0	0	0	0	0
ENSGMOG00000006455	0	2	1	0	2	0
ENSGMOG00000021301	0	0	0	0	0	3
ENSGMOG00000006477	0	0	0	0	0	0
ENSGMOG00000006482	18	49	53	83	170	170
ENSGMOG00000006498	5	16	40	34	14	1
ENSGMOG00000006508	8	2	1	4	2	3
ENSGMOG00000020195	0	0	5	0	3	0
ENSGMOG00000020196	4	0	2	0	3	0
ENSGMOG00000006517	473	376	362	181	489	571
ENSGMOG00000006528	0	20	12	6	13	13
ENSGMOG00000006535	412	238	523	215	133	98
ENSGMOG00000006558	16084	12227	17187	9128	8096	13695
ENSGMOG00000006566	1197	1185	719	461	627	694
ENSGMOG00000006586	475	240	263	257	246	185
ENSGMOG00000006623	45	242	159	122	42	43
ENSGMOG00000006630	6	4	8	9	10	3
ENSGMOG00000006638	2394	1937	1416	1059	2035	2235
ENSGMOG00000006646	16	1	12	3	2	3
ENSGMOG00000006654	472	250	305	239	520	580
ENSGMOG00000006670	1923	918	1247	681	1754	2196
ENSGMOG00000006684	16	16	33	20	0	0
ENSGMOG00000006688	13	19	5	24	5	1
ENSGMOG00000006710	1	0	0	0	0	0
ENSGMOG00000006720	4360	1525	2492	955	6393	3652
ENSGMOG00000006742	2644	1243	1674	1372	2566	2852
ENSGMOG00000006755	837	792	888	998	586	731
ENSGMOG00000006761	5964	2839	4491	4916	3793	4470
ENSGMOG00000006782	3043	2018	2315	2399	1133	1520
ENSGMOG00000006799	1149	641	711	563	1007	1422
ENSGMOG00000006817	2577	1794	2491	4065	692	872
ENSGMOG00000006827	1502	916	911	774	1021	1368
ENSGMOG00000006840	1139	2226	1973	1068	2620	2693
ENSGMOG00000006863	0	0	0	0	0	0
ENSGMOG00000006871	16	4	23	17	19	22
ENSGMOG00000006883	80	707	102	114	329	659
ENSGMOG00000006912	5244	3525	3253	1543	3890	5948
ENSGMOG00000006931	2331	1442	1643	1068	2708	2974
ENSGMOG00000006946	118	42	53	55	35	47
ENSGMOG00000006954	120	31	33	45	49	53
ENSGMOG00000006958	289	281	239	141	216	264
ENSGMOG00000006967	0	0	0	0	0	2
ENSGMOG00000006974	16299	6550	10669	8966	15960	13255
ENSGMOG00000006987	29	13	79	11	2	2
ENSGMOG00000006992	7	0	0	2	2	0
ENSGMOG00000007000	8106	935	1817	203	6306	668
ENSGMOG00000007035	106	88	85	72	70	103
ENSGMOG00000007044	2520	1311	2093	1690	1923	2343
ENSGMOG00000007050	757	521	550	574	316	456
ENSGMOG00000005536	582	548	648	453	196	165
ENSGMOG00000005565	6698	566	865	289	6774	36069
ENSGMOG00000005590	1307	747	1079	1034	1426	1379
ENSGMOG00000005625	613	315	465	231	503	718
ENSGMOG00000005633	117	45	67	23	43	67
ENSGMOG00000005648	3	1	2	0	2	5
ENSGMOG00000005652	3413	2210	5228	3059	2394	3482
ENSGMOG00000005676	57	18	27	20	38	10
ENSGMOG00000005698	221	15	9	119	32	11
ENSGMOG00000005753	2834	1288	1421	918	2793	2773
ENSGMOG00000005773	858	572	631	1131	450	549
ENSGMOG00000005794	2597	1171	1760	542	3074	3573
ENSGMOG00000005808	863	539	913	507	717	802
ENSGMOG00000005838	8	10	2	9	2	0
ENSGMOG00000005866	242	96	126	390	33	22
ENSGMOG00000005931	1	7	3	5	1	3
ENSGMOG00000005989	0	0	0	0	0	0
ENSGMOG00000005992	212	230	295	185	109	138
ENSGMOG00000006011	4	0	5	0	0	9
ENSGMOG00000006023	389	161	212	147	403	505
ENSGMOG00000006041	3932	2394	3663	3629	2247	3071
ENSGMOG00000006066	1300	641	1056	919	941	947
ENSGMOG00000006097	1955	2385	1879	2209	1196	1142
ENSGMOG00000006108	0	0	7	1	1	3
ENSGMOG00000006125	0	0	0	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0
ENSGMOG00000006155	219	158	243	60	118	216
ENSGMOG00000006181	2	0	7	2	0	0
ENSGMOG00000006190	2	0	0	1	4	5
ENSGMOG00000006241	1116	403	875	710	1061	1459
ENSGMOG00000006322	272	84	147	108	367	383
ENSGMOG00000006338	123	52	280	380	7	2
ENSGMOG00000006344	1673	620	1377	1426	1483	2081
ENSGMOG00000006403	492	172	296	428	426	369
ENSGMOG00000006419	1562	1079	1415	855	1166	1666
ENSGMOG00000006429	84	11	8	2	59	28
