ID	sample_4	sample_9	sample_15	sample_21	sample_34	sample_40	sample_47
ENSGMOG00000006173	4820	4894	4050	2261	3162	1468	3344
ENSGMOG00000021891	0	0	0	0	0	0	0
ENSGMOG00000006212	983	629	811	790	572	1314	1217
ENSGMOG00000006286	274	261	422	432	300	680	819
ENSGMOG00000006320	46	29	80	64	32	78	84
ENSGMOG00000006349	104	92	61	67	162	143	174
ENSGMOG00000006358	1286	2600	1004	2265	3671	3273	7956
ENSGMOG00000006377	360	371	343	173	277	423	763
ENSGMOG00000006389	181	150	179	228	111	407	494
ENSGMOG00000020194	10	53	32	147	38	66	58
ENSGMOG00000006398	2	4	7	3	5	1	1
ENSGMOG00000006445	0	0	0	0	0	0	0
ENSGMOG00000006455	0	0	0	0	0	1	0
ENSGMOG00000021301	0	0	0	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0	0
ENSGMOG00000006482	7	17	13	34	89	284	125
ENSGMOG00000006498	13	14	2	18	27	18	1
ENSGMOG00000006508	2	8	0	0	4	0	4
ENSGMOG00000020195	0	3	0	0	0	8	0
ENSGMOG00000020196	0	2	0	0	0	6	1
ENSGMOG00000006517	317	230	316	303	194	705	496
ENSGMOG00000006528	0	0	32	27	10	1	11
ENSGMOG00000006535	87	229	190	218	219	70	165
ENSGMOG00000006558	12824	12158	9814	12134	8839	10360	11321
ENSGMOG00000006566	937	723	473	1188	343	712	724
ENSGMOG00000006586	143	312	106	137	250	205	168
ENSGMOG00000006623	17	17	164	326	122	51	61
ENSGMOG00000006630	1	14	24	15	6	15	2
ENSGMOG00000006638	1427	1391	1633	2506	1082	2641	2095
ENSGMOG00000006646	10	8	9	5	0	20	3
ENSGMOG00000006654	340	250	225	151	177	349	569
ENSGMOG00000006670	961	970	1134	1143	683	1995	2012
ENSGMOG00000006684	3	13	49	4	23	0	0
ENSGMOG00000006688	2	5	81	21	36	1	0
ENSGMOG00000006710	0	0	0	0	0	0	0
ENSGMOG00000006720	3325	2512	2257	1344	723	7107	2532
ENSGMOG00000006742	1737	1456	1744	1682	1196	3591	2583
ENSGMOG00000006755	656	609	700	965	1303	877	928
ENSGMOG00000006761	4737	4162	2074	1492	2953	1184	3816
ENSGMOG00000006782	1855	2024	1497	2377	2068	1593	1171
ENSGMOG00000006799	669	580	696	700	523	1181	1157
ENSGMOG00000006817	1564	2293	1441	1849	3936	845	1079
ENSGMOG00000006827	899	826	736	979	756	1176	1207
ENSGMOG00000006840	713	735	450	2669	920	3138	2303
ENSGMOG00000006863	0	0	0	0	0	0	0
ENSGMOG00000006871	8	7	23	7	1	17	1
ENSGMOG00000006883	99	66	813	850	102	629	529
ENSGMOG00000006912	4043	2660	1952	4684	1297	5172	5592
ENSGMOG00000006931	1429	1200	1538	1711	1151	3246	2891
ENSGMOG00000006946	63	37	34	29	29	13	73
