ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000006445	3	0	0	0	0	0
ENSGMOG00000006455	0	0	0	0	0	0
ENSGMOG00000021301	0	0	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0
ENSGMOG00000006482	14	25	40	48	71	127
ENSGMOG00000006498	18	18	13	7	40	0
ENSGMOG00000006508	6	0	4	2	3	0
ENSGMOG00000020195	5	0	0	2	0	0
ENSGMOG00000020196	9	0	0	0	0	0
ENSGMOG00000006517	421	276	271	267	214	380
ENSGMOG00000006528	0	9	20	2	8	10
ENSGMOG00000006535	468	155	227	331	247	62
ENSGMOG00000006558	26541	10667	13573	12278	10567	2795
ENSGMOG00000006566	1105	514	1072	531	419	126
ENSGMOG00000006586	446	287	265	193	377	111
ENSGMOG00000006623	45	92	292	129	172	15
ENSGMOG00000006630	12	11	12	7	17	1
ENSGMOG00000006638	1762	1393	2218	1110	1057	1322
ENSGMOG00000006646	15	1	11	9	3	0
ENSGMOG00000006654	325	233	207	222	268	203
ENSGMOG00000006670	1443	1009	1169	884	782	1336
ENSGMOG00000006684	44	21	7	23	20	0
ENSGMOG00000006688	18	77	25	11	16	0
ENSGMOG00000006710	0	0	0	0	0	0
ENSGMOG00000006720	3795	3735	1655	1488	1009	599
ENSGMOG00000006742	1922	1810	1343	1336	1337	1123
ENSGMOG00000006755	881	455	759	833	1125	1224
ENSGMOG00000006761	5633	3488	2374	2721	5446	201
ENSGMOG00000006782	2846	1488	2275	1662	2613	379
ENSGMOG00000006799	941	607	717	517	565	520
ENSGMOG00000006817	2890	1865	1728	1785	4492	335
ENSGMOG00000006827	1232	813	835	691	992	446
ENSGMOG00000006840	1505	797	2742	1512	1421	1180
ENSGMOG00000006863	0	0	0	0	0	0
ENSGMOG00000006871	14	12	1	3	7	6
ENSGMOG00000006883	58	554	719	89	83	647
ENSGMOG00000006912	5001	2406	4400	2251	1769	1213
ENSGMOG00000006931	1817	1592	1341	1241	1337	1644
ENSGMOG00000006946	65	60	41	24	60	0
ENSGMOG00000006954	73	55	27	22	46	4
ENSGMOG00000006958	332	220	235	142	154	6
ENSGMOG00000006967	5	0	0	0	2	0
ENSGMOG00000006974	13620	6526	5817	7834	9163	1823
ENSGMOG00000006987	90	16	17	40	15	0
ENSGMOG00000006992	3	0	2	0	6	0
ENSGMOG00000007000	5051	73	693	1491	84	365
ENSGMOG00000007035	115	69	58	62	69	4
ENSGMOG00000007044	2342	1211	1664	1730	1918	611
ENSGMOG00000007050	764	452	601	511	578	778
ENSGMOG00000005536	815	350	607	563	508	77
ENSGMOG00000005565	1258	260	601	646	276	5988
ENSGMOG00000005590	906	753	985	747	1148	190
ENSGMOG00000005625	361	419	339	392	250	441
ENSGMOG00000005633	81	38	21	20	26	16
ENSGMOG00000005648	3	5	7	4	4	0
ENSGMOG00000005652	5684	3587	2116	4382	3466	3663
ENSGMOG00000005676	198	94	20	12	38	3
ENSGMOG00000005698	67	15	11	2	140	0
ENSGMOG00000005753	1804	1225	1161	864	1012	2399
ENSGMOG00000005773	582	375	464	411	1061	229
