ID	sample_3	sample_8	sample_14	sample_20	sample_27	sample_33	sample_39
ENSGMOG00000006173	5618	5415	5159	2293	5746	4035	173
ENSGMOG00000021891	0	0	0	0	0	0	0
ENSGMOG00000006212	788	836	827	875	1201	698	1495
ENSGMOG00000006286	211	310	475	391	569	283	996
ENSGMOG00000006320	71	47	85	67	89	40	39
ENSGMOG00000006349	142	133	52	113	160	170	172
ENSGMOG00000006358	2851	3483	1362	3177	4049	3335	4225
ENSGMOG00000006377	564	524	298	255	748	283	181
ENSGMOG00000006389	119	189	158	156	297	133	317
ENSGMOG00000020194	15	30	39	101	66	66	41
ENSGMOG00000006398	0	6	56	12	16	5	0
ENSGMOG00000006445	0	0	0	0	0	0	0
ENSGMOG00000006455	0	0	0	0	0	0	0
ENSGMOG00000021301	0	1	0	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0	0
ENSGMOG00000006482	13	35	24	44	73	100	333
ENSGMOG00000006498	6	21	11	5	46	28	21
ENSGMOG00000006508	0	7	5	2	5	6	0
ENSGMOG00000020195	1	2	0	0	5	1	1
ENSGMOG00000020196	0	1	0	0	6	0	1
ENSGMOG00000006517	338	352	359	362	442	223	960
ENSGMOG00000006528	0	0	29	17	21	2	7
ENSGMOG00000006535	195	215	205	191	568	184	26
ENSGMOG00000006558	13268	19925	10561	13508	19637	7782	5536
ENSGMOG00000006566	814	1014	613	1122	825	387	328
ENSGMOG00000006586	168	581	317	123	531	387	27
ENSGMOG00000006623	19	21	152	360	177	110	45
ENSGMOG00000006630	8	8	16	10	41	12	9
ENSGMOG00000006638	1573	1822	1640	2973	1954	1007	4178
ENSGMOG00000006646	2	12	20	11	3	0	6
ENSGMOG00000006654	273	301	197	142	291	187	67
ENSGMOG00000006670	1213	1282	980	1284	1569	589	1424
ENSGMOG00000006684	0	0	0	0	0	0	0
ENSGMOG00000006688	0	2	0	0	0	0	1
ENSGMOG00000006710	0	0	0	0	0	0	0
ENSGMOG00000006720	2161	2120	2931	1261	2764	717	3415
ENSGMOG00000006742	1754	1575	1262	1437	1782	877	5416
ENSGMOG00000006755	800	853	644	1165	1296	1043	1796
ENSGMOG00000006761	3969	3986	3132	1413	4324	4175	67
ENSGMOG00000006782	2013	2481	1789	2459	3309	2233	1607
ENSGMOG00000006799	643	776	676	804	1015	516	713
ENSGMOG00000006817	1427	1589	1574	2051	2143	2405	1706
ENSGMOG00000006827	1021	984	969	1058	1234	749	828
ENSGMOG00000006840	842	1113	599	2573	2393	1063	2487
ENSGMOG00000006863	0	0	0	0	0	0	0
ENSGMOG00000006871	7	1	22	0	18	4	14
ENSGMOG00000006883	48	96	840	813	182	109	410
ENSGMOG00000006912	3898	3401	2834	4863	4575	1626	6361
ENSGMOG00000006931	1423	1473	1944	1668	2147	1115	2085
ENSGMOG00000006946	19	53	37	17	59	37	0
ENSGMOG00000006954	25	51	53	19	39	29	1
ENSGMOG00000006958	247	227	277	204	329	158	176
ENSGMOG00000006967	0	0	0	1	0	0	0
ENSGMOG00000006974	16078	11320	7822	6285	12891	8861	8305
ENSGMOG00000006987	27	35	13	40	91	21	1
ENSGMOG00000006992	0	3	1	0	1	1	5
ENSGMOG00000007000	4962	5432	127	966	2546	129	4905
ENSGMOG00000007035	42	87	68	49	129	94	3
ENSGMOG00000007044	1638	2101	1279	1815	3118	1936	798
ENSGMOG00000007050	619	657	555	807	916	568	1151
ENSGMOG00000005536	586	661	496	806	1020	404	389
ENSGMOG00000005565	894	1869	373	776	1212	216	4541
ENSGMOG00000005590	866	869	834	824	1471	1010	1303
ENSGMOG00000005625	406	366	453	407	656	279	990
ENSGMOG00000005633	35	47	40	22	82	17	1
ENSGMOG00000005648	0	4	0	0	4	2	0
ENSGMOG00000005652	2854	4531	4137	2871	6654	3174	4781
ENSGMOG00000005676	363	102	135	41	64	28	124
ENSGMOG00000005698	87	155	14	8	17	120	41
ENSGMOG00000005753	1726	1848	1229	1634	2131	930	6506
ENSGMOG00000005773	1418	840	722	873	1182	1451	867
ENSGMOG00000005794	2720	1250	5004	1421	2868	485	6115
ENSGMOG00000005808	585	902	721	483	1157	468	314
ENSGMOG00000005838	0	48	2	5	1	7	3
ENSGMOG00000005866	520	261	289	119	208	457	29
ENSGMOG00000005931	8	3	9	3	6	3	0
ENSGMOG00000005989	0	0	1	0	0	0	0
ENSGMOG00000005992	145	170	230	208	289	207	67
ENSGMOG00000006011	2	7	1	4	11	1	0
ENSGMOG00000006023	245	248	208	207	260	150	857
ENSGMOG00000006041	2634	3499	3120	2442	4540	3652	2478
ENSGMOG00000006066	899	788	1604	587	1314	863	235
ENSGMOG00000006097	2140	1859	2285	3620	2859	2302	3567
ENSGMOG00000006108	1	0	2	0	14	3	0
ENSGMOG00000006125	0	1	1	2	1	0	0
ENSGMOG00000006140	0	0	0	0	0	0	0
ENSGMOG00000006155	133	150	290	132	304	61	133
ENSGMOG00000006181	2	4	2	0	2	2	0
ENSGMOG00000006190	0	1	0	0	2	0	0
ENSGMOG00000006241	755	734	410	322	1033	819	246
ENSGMOG00000006322	110	220	122	60	192	124	501
ENSGMOG00000006338	114	216	62	65	479	384	5
ENSGMOG00000006344	1068	1107	944	672	1826	1501	446
ENSGMOG00000006403	416	659	611	354	480	510	341
ENSGMOG00000006419	1333	1141	1115	1365	1760	923	1679
ENSGMOG00000006429	104	33	37	9	25	7	16
ENSGMOG00000006458	670	707	715	883	944	467	2448
ENSGMOG00000006474	0	0	0	0	0	0	0
ENSGMOG00000006494	13	7	12	0	3	2	0
ENSGMOG00000006502	0	0	1	4	5	0	0
ENSGMOG00000006511	0	0	0	0	0	0	1
ENSGMOG00000006521	1605	1486	1273	1792	1621	804	2933
ENSGMOG00000006539	1	2	0	0	0	0	0
ENSGMOG00000006545	4662	4675	3664	2093	4972	2193	382
ENSGMOG00000006599	0	0	0	1	0	0	0
ENSGMOG00000006609	11	16	5	13	28	24	0
ENSGMOG00000006616	13	15	3	11	23	16	1
ENSGMOG00000006625	537	602	421	409	731	371	2059
ENSGMOG00000006631	46	45	36	10	94	94	0
ENSGMOG00000006649	8	7	24	12	2	5	1
ENSGMOG00000006663	22	40	63	20	43	12	12
ENSGMOG00000006668	263	388	362	126	415	256	49
ENSGMOG00000006724	105	147	128	65	296	137	16
ENSGMOG00000006758	274	320	153	127	335	171	17
ENSGMOG00000006772	576	973	1254	1467	2353	1634	1170
ENSGMOG00000006774	15	25	10	20	32	21	15
ENSGMOG00000006780	61	58	43	27	59	32	18
ENSGMOG00000006787	22	12	9	9	29	22	5
ENSGMOG00000006790	360	241	321	283	298	217	524
ENSGMOG00000006832	596	576	641	623	620	397	493
ENSGMOG00000007041	67	129	74	51	115	40	67
ENSGMOG00000007051	178	230	169	316	365	150	472
ENSGMOG00000007067	32	23	4	27	28	35	55
ENSGMOG00000007079	686	813	514	889	1100	938	1117
ENSGMOG00000007147	1723	1543	1075	1445	1706	1305	514
ENSGMOG00000007217	1	10	4	5	10	3	0
ENSGMOG00000007132	158	169	198	127	245	139	113
ENSGMOG00000007143	0	1	2	0	2	0	1
ENSGMOG00000007164	0	0	0	0	0	0	0
ENSGMOG00000007175	2	1	1	0	0	0	0
ENSGMOG00000007184	0	0	0	0	0	0	0
ENSGMOG00000007187	56	85	51	31	81	66	34
ENSGMOG00000007195	273	158	287	359	256	174	495
ENSGMOG00000007199	64890	38803	52797	12824	36028	21624	156482
