ID	sample_5	sample_16	sample_22	sample_28	sample_35	sample_48
ENSGMOG00000006398	1	43	3	4	16	2
ENSGMOG00000006445	0	0	0	0	0	0
ENSGMOG00000006455	0	0	0	0	0	0
ENSGMOG00000021301	0	0	0	0	0	0
ENSGMOG00000006477	0	0	0	0	0	0
ENSGMOG00000006482	15	32	51	48	100	184
ENSGMOG00000006498	4	6	7	16	40	4
ENSGMOG00000006508	2	6	13	3	4	4
ENSGMOG00000020195	0	0	1	7	0	0
ENSGMOG00000020196	0	0	0	15	2	0
ENSGMOG00000006517	326	416	288	387	259	505
ENSGMOG00000006528	0	21	23	9	15	12
ENSGMOG00000006535	163	260	334	449	344	210
ENSGMOG00000006558	12051	13645	13564	15673	14945	12056
ENSGMOG00000006566	918	739	1221	655	641	656
ENSGMOG00000006586	216	288	253	228	334	219
ENSGMOG00000006623	36	209	296	151	142	93
ENSGMOG00000006630	3	17	14	8	11	1
ENSGMOG00000006638	1521	1821	1991	1492	1252	2843
ENSGMOG00000006646	10	22	3	5	4	14
ENSGMOG00000006654	373	352	210	333	299	712
ENSGMOG00000006670	1079	1159	1087	1132	885	2134
ENSGMOG00000006684	4	21	30	26	8	0
ENSGMOG00000006688	7	112	32	33	29	1
ENSGMOG00000006710	0	0	0	0	0	0
ENSGMOG00000006720	3113	4218	1615	2470	1486	2997
ENSGMOG00000006742	1820	2340	1371	2031	1531	2707
ENSGMOG00000006755	640	691	865	1057	1061	757
ENSGMOG00000006761	5023	4473	3455	3840	6837	6049
ENSGMOG00000006782	1950	2077	2404	2361	3098	1455
ENSGMOG00000006799	720	893	696	724	675	1340
ENSGMOG00000006817	1529	1637	2325	2516	5768	1050
ENSGMOG00000006827	970	1040	997	842	977	1492
ENSGMOG00000006840	1158	703	2350	1738	1445	3025
ENSGMOG00000006863	0	0	0	0	0	0
ENSGMOG00000006871	14	12	8	16	10	10
ENSGMOG00000006883	78	855	804	102	132	582
ENSGMOG00000006912	4499	3256	3534	3157	2071	7157
ENSGMOG00000006931	1479	1877	1533	1537	1404	2969
ENSGMOG00000006946	40	52	68	31	70	98
ENSGMOG00000006954	33	85	50	46	63	79
ENSGMOG00000006958	470	329	223	249	211	334
ENSGMOG00000006967	2	0	0	0	0	0
ENSGMOG00000006974	13321	8376	7353	8955	16262	14267
ENSGMOG00000006987	5	17	48	85	13	2
ENSGMOG00000006992	0	1	0	3	0	0
ENSGMOG00000007000	4632	124	984	1845	144	1252
ENSGMOG00000007035	82	103	72	87	87	127
ENSGMOG00000007044	1597	1452	1719	1875	2311	2499
ENSGMOG00000007050	531	533	571	584	576	461
ENSGMOG00000005536	221	600	548	643	529	164
ENSGMOG00000005565	1240	224	612	896	457	35186
ENSGMOG00000005590	1257	890	877	984	1197	1946
ENSGMOG00000005625	374	460	350	396	300	891
ENSGMOG00000005633	36	47	45	47	41	119
ENSGMOG00000005648	1	2	1	0	0	10
ENSGMOG00000005652	1704	5161	2448	4377	3653	3671
ENSGMOG00000005676	181	70	12	10	25	4
ENSGMOG00000005698	92	10	7	14	147	10
ENSGMOG00000005753	1559	1232	1286	1517	1182	3013
ENSGMOG00000005773	764	498	632	618	1391	614
ENSGMOG00000005794	3388	6787	1181	2002	673	3018
ENSGMOG00000005808	613	977	469	843	722	819
ENSGMOG00000005838	2	9	4	6	10	12
ENSGMOG00000005866	244	187	111	129	507	46
ENSGMOG00000005931	6	8	14	5	10	3
ENSGMOG00000005989	0	1	0	0	0	0
ENSGMOG00000005992	136	303	270	220	252	197
ENSGMOG00000006011	3	3	1	5	0	5
ENSGMOG00000006023	250	251	193	209	136	608
ENSGMOG00000006041	2366	3893	2890	3020	4223	3060
ENSGMOG00000006066	921	1223	781	1083	1148	1100
ENSGMOG00000006097	1690	1676	2752	2041	2470	1211
ENSGMOG00000006108	0	0	2	9	0	0
ENSGMOG00000006125	0	0	0	0	0	0
ENSGMOG00000006140	0	0	0	0	0	0
ENSGMOG00000006155	327	636	156	278	103	246
ENSGMOG00000006181	1	1	0	6	1	3
ENSGMOG00000006190	2	3	0	3	2	3
ENSGMOG00000006241	748	570	545	771	956	1891
ENSGMOG00000006322	113	156	127	109	142	462
ENSGMOG00000006338	48	81	62	211	540	6
ENSGMOG00000006344	1199	1132	800	1159	1773	2782
ENSGMOG00000006403	372	498	229	266	591	532
ENSGMOG00000006419	1397	1215	1259	1190	1147	2132
ENSGMOG00000006429	93	41	6	4	9	46
ENSGMOG00000006458	693	718	618	695	506	1267
ENSGMOG00000006474	0	0	0	0	1	0
ENSGMOG00000006494	27	2	0	5	6	37
ENSGMOG00000006502	0	0	0	2	0	2
ENSGMOG00000006511	1	0	0	0	0	0
ENSGMOG00000006521	1628	1548	1500	1266	993	1973
ENSGMOG00000006539	0	1	0	0	0	0
ENSGMOG00000006545	6698	4742	2645	4231	3511	7160
ENSGMOG00000006599	1	0	1	0	0	1
ENSGMOG00000006609	11	1	7	8	32	7
ENSGMOG00000006616	13	3	11	28	27	2
ENSGMOG00000006625	398	441	249	477	392	1669
ENSGMOG00000006631	31	39	20	68	99	25
ENSGMOG00000006649	20	41	9	7	14	6
ENSGMOG00000006663	56	72	24	37	17	47
ENSGMOG00000006668	314	513	242	326	356	553
ENSGMOG00000006724	154	143	83	202	272	156
ENSGMOG00000006758	295	256	214	200	232	275
ENSGMOG00000006772	378	1380	1359	1592	1580	685
ENSGMOG00000006774	25	32	24	49	31	100
ENSGMOG00000006780	64	71	38	60	52	170
ENSGMOG00000006787	18	18	23	12	24	42
ENSGMOG00000006790	378	342	290	233	192	502
ENSGMOG00000006832	641	724	671	519	456	1075
ENSGMOG00000007041	121	111	40	84	68	95
