#Coverage (X)	Coverage
1.0	3.155779999999993
2.0	1.526139999999998
3.0	1.0308399999999978
4.0	0.7870300000000015
5.0	0.6183199999999971
6.0	0.4960099999999983
7.0	0.40749999999999886
8.0	0.3407200000000046
9.0	0.2918200000000013
10.0	0.25499999999999545
11.0	0.22887000000000057
12.0	0.20977999999999497
13.0	0.19301000000000101
14.0	0.17920999999999765
15.0	0.16873999999999967
16.0	0.16158000000000072
17.0	0.15537999999999386
18.0	0.14978999999999587
19.0	0.1450099999999992
20.0	0.14076000000000022
21.0	0.13688999999999396
22.0	0.13339999999999463
23.0	0.1299799999999891
24.0	0.1265499999999946
25.0	0.12344999999999118
26.0	0.12010999999999683
27.0	0.11695999999999174
28.0	0.11427999999999372
29.0	0.11133999999999844
30.0	0.1084199999999953
31.0	0.10566999999998927
32.0	0.10262999999999067
33.0	0.09976999999999236
34.0	0.0964699999999965
35.0	0.0941399999999959
36.0	0.0919099999999986
37.0	0.0898600000000016
38.0	0.08836000000000865
39.0	0.08667000000001224
40.0	0.084990000000019
41.0	0.08328000000001623
42.0	0.08154000000001815
43.0	0.07987000000001387
44.0	0.07833000000000823
45.0	0.07704000000001088
46.0	0.07600000000000762
47.0	0.07490000000001373
48.0	0.07359000000001004
49.0	0.07237000000000648
50.0	0.07150000000000034
51.0	0.07075000000000387
