#Position (bp)	mapping quality
12500.5	5.875276832108941
37500.5	1.4242026969178083
62500.5	1.659089594539881
87500.5	6.979771631916254
112500.5	0.04347589583191677
137500.5	0.4932798765713789
162500.5	0.09444640531626158
187500.5	4.929871720295135
212500.5	0.3390452876376989
237500.5	0.0
262500.5	18.43217340017694
287500.5	1.0
312500.5	0.0
337500.5	23.575539568345324
362500.5	40.2
387500.5	15.5
412500.5	1.0
437500.5	8.406521739130435
462500.5	1.0
487500.5	1.5720295952415495
512500.5	3.0438931297709924
537500.5	9.319954128440367
562500.5	0.0
587500.5	20.666666666666668
612500.5	1.0386911342029626
637500.5	59.40926432684816
662500.5	0.6176470588235294
687500.5	20.43189964157706
712500.5	0.761808367071525
737500.5	1.4185056569956311
762500.5	1.1114679050159735
787500.5	5.2345990522493695
812500.5	3.734322000473298
837500.5	3.356771163853281
862500.5	23.67701121986154
887500.5	60.0
912500.5	53.098094565984475
937500.5	14.403894197336905
962500.5	16.84169227751259
987500.5	11.27617148554337
1012500.5	15.481908697024476
1037500.5	4.789338571779361
1062500.5	9.08408887753799
1087500.5	3.4417216462456803
1112500.5	0.5616811831978189
1137500.5	0.30088354692350555
1162500.5	0.30088354692350555
1187500.5	0.4110434859310223
1212500.5	5.466155049838861
1237500.5	4.551160600352434
1262500.5	3.1180201112211474
1287500.5	15.208180222673175
1312500.5	11.873352925858413
1337500.5	10.722702654178761
1362500.5	20.859812460785236
1387500.5	14.502746301615966
1412500.5	6.281998538446965
1437500.5	4.511625726607913
1462500.5	0.4357392863240567
1487500.5	2.5998761809910906
1512500.5	0.9691280400392345
1537500.5	3.728761504668129
1562500.5	0.6402120935671336
1587500.5	4.205246441144956
1612500.5	5.2240470753557
1637500.5	9.199746097694682
1662500.5	8.019566611782288
1687500.5	0.8765798054380339
1712500.5	1.2339835087418372
1737500.5	5.709182577992668
1762500.5	4.661361408833665
1787500.5	8.333561384098736
1812500.5	0.8904929864207333
1837500.5	0.40068502906513975
1862500.5	0.14780598308924292
1887500.5	0.10246982680974806
1912500.5	0.6115155330828104
1937500.5	0.27352262141034467
1962500.5	0.1572991626762259
1987500.5	0.3491532976827095
2012500.5	0.08341056533827618
2037500.5	0.9393863179074446
2062500.5	60.0
2087500.5	0.0
2112500.5	60.0
2137500.5	60.0
2162500.5	60.0
2187500.5	7.301506538935485
2212500.5	18.057518115942027
2237500.5	3.3605902244082384
2262500.5	0.16316536473851287
2287500.5	0.18504958345978012
2312500.5	21.236397388298553
2337500.5	0.5161526494005674
2362500.5	20.29135912445915
2387500.5	5.601837425995356
2412500.5	19.434904057879837
2437500.5	60.0
2462500.5	0.0
2487500.5	0.0
2512500.5	6.160580705934504
2537500.5	1.8345323741007193
2562500.5	21.261122706799956
