#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	1.7895490336435218E-4
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	1.7895490336435218E-4
23.0	1.7895490336435218E-4
24.0	0.0
25.0	0.0
26.0	1.7895490336435218E-4
27.0	5.368647100930566E-4
28.0	8.947745168217608E-4
29.0	0.003937007874015748
30.0	0.0025053686471009306
31.0	0.003937007874015749
32.0	0.0082319255547602
33.0	0.0051896921975662135
34.0	0.010916249105225484
35.0	0.01717967072297781
36.0	0.013600572655690764
37.0	0.03221188260558339
38.0	0.023264137437365783
39.0	0.032390837508947744
40.0	0.04634931997136721
41.0	0.02075876879026485
42.0	0.045991410164638515
43.0	0.05493915533285612
44.0	0.03024337866857552
45.0	0.05261274158911954
46.0	0.04187544738725841
47.0	0.04259126700071582
48.0	0.04652827487473157
49.0	0.026306370794559768
50.0	0.05493915533285613
51.0	0.050286327845382964
52.0	0.01789549033643522
53.0	0.05476020042949177
54.0	0.026127415891195417
55.0	0.024158911954187547
56.0	0.03686471009305655
57.0	0.0164638511095204
58.0	0.020042949176807445
59.0	0.026306370794559775
60.0	0.013063707945597712
61.0	0.015748031496062992
62.0	0.010200429491768076
63.0	0.010737294201861133
64.0	0.007874015748031496
65.0	0.010021474588403722
66.0	0.006263421617752327
67.0	0.006800286327845383
68.0	0.0057265569076592705
69.0	0.005010737294201862
70.0	0.003937007874015748
71.0	0.0021474588403722263
72.0	0.0023264137437365782
73.0	0.0021474588403722263
74.0	0.0016105941302791693
75.0	0.001073729420186113
76.0	3.5790980672870435E-4
77.0	7.158196134574087E-4
78.0	7.158196134574087E-4
79.0	5.368647100930566E-4
80.0	8.947745168217608E-4
81.0	1.7895490336435218E-4
82.0	1.7895490336435218E-4
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	1.7895490336435218E-4
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
