#Position (bp)	insert size
12500.5	57863.27561837456
37500.5	37668.875
62500.5	44504.416666666664
87500.5	10344.952380952382
112500.5	129395.5
137500.5	111841.47222222222
162500.5	126916.0
187500.5	3539.653333333333
212500.5	109.0
237500.5	0.0
262500.5	13535.194029850747
287500.5	172112.0
312500.5	0.0
337500.5	1051.6666666666667
362500.5	20732.5
387500.5	186193.33333333334
412500.5	214964.0
437500.5	145.0
462500.5	214214.0
487500.5	68826.78947368421
512500.5	57874.92307692308
537500.5	41825.666666666664
562500.5	0.0
587500.5	0.0
612500.5	156.0
637500.5	155.2187428346818
662500.5	0.0
687500.5	80.0
712500.5	158.5
737500.5	189.24
762500.5	272.75
787500.5	139.1904761904762
812500.5	652.0
837500.5	214.05882352941177
862500.5	161.15
887500.5	0.0
912500.5	145.8
937500.5	170.30666666666667
962500.5	156.46391752577318
987500.5	100.25
1012500.5	561.8656716417911
1037500.5	204.98540145985402
1062500.5	183.17567567567568
1087500.5	501.1764705882353
1112500.5	111.0
1137500.5	80.0
1162500.5	0.0
1187500.5	0.0
1212500.5	193.07142857142858
1237500.5	210.9942196531792
1262500.5	226.56451612903226
1287500.5	1931.8707482993198
1312500.5	150.11682242990653
1337500.5	222.0142857142857
1362500.5	168.78834080717488
1387500.5	625.7149877149877
1412500.5	6860.348314606742
1437500.5	19712.5625
1462500.5	75408.625
1487500.5	7298.666666666667
1512500.5	2229.1
1537500.5	823.874251497006
1562500.5	135.4516129032258
1587500.5	135.9090909090909
1612500.5	150.125
1637500.5	11271.639024390244
1662500.5	15883.978417266188
1687500.5	19409.20634920635
1712500.5	187.15942028985506
1737500.5	158.5859872611465
1762500.5	179.7549019607843
1787500.5	283.3445229681979
1812500.5	909.9278350515464
1837500.5	1643.4
1862500.5	102.0
1887500.5	0.0
1912500.5	111.0
1937500.5	0.0
1962500.5	0.0
1987500.5	135342.0
2012500.5	0.0
2037500.5	73192.0
2062500.5	50842.0
2087500.5	0.0
2112500.5	0.0
2137500.5	0.0
2162500.5	0.0
2187500.5	207.20833333333334
2212500.5	173.55555555555554
2237500.5	172.5
2262500.5	114.0
2287500.5	167.5
2312500.5	155.02906976744185
2337500.5	106.0
2362500.5	253.86486486486487
2387500.5	292.2278481012658
2412500.5	168.1887755102041
2437500.5	0.0
2462500.5	0.0
2487500.5	0.0
2512500.5	179.53125
2537500.5	0.0
2562500.5	166.68421052631578
2587500.5	179.27027027027026
2612500.5	0.0
2637500.5	120.0
2662500.5	0.0
2687500.5	0.0
2712500.5	0.0
2737500.5	0.0
2762500.5	0.0
2787500.5	0.0
2812500.5	0.0
2837500.5	0.0
2862500.5	0.0
2887500.5	0.0
2912500.5	0.0
2937500.5	0.0
2962500.5	0.0
2987500.5	0.0
3012500.5	0.0
3037500.5	0.0
3062500.5	157.0
3087500.5	0.0
3112500.5	302.0
3137500.5	0.0
3162500.5	0.0
3187500.5	0.0
3212500.5	0.0
3237500.5	0.0
3262500.5	113.3125
3287500.5	0.0
3312500.5	181.0
3337500.5	0.0
3362500.5	0.0
3387500.5	108.0
3412500.5	131.0
3437500.5	140.6
3462500.5	0.0
3487500.5	157.84
3512500.5	201.33333333333334
3537500.5	0.0
3562500.5	0.0
3587500.5	0.0
3612500.5	135.5
3637500.5	201.87845303867402
3662500.5	0.0
3687500.5	0.0
3712500.5	0.0
3737500.5	153.32631578947368
3762500.5	161.0
3787500.5	154.04054054054055
3812500.5	167.86206896551724
3837500.5	167.47368421052633
3862500.5	154.2
3887500.5	164.32432432432432
3912500.5	1066.75
3937500.5	0.0
3962500.5	0.0
3987500.5	0.0
4012500.5	0.0
4037500.5	116.28571428571429
4062500.5	266262.0
4087500.5	398247.0
4112500.5	175.55555555555554
4137500.5	0.0
4162500.5	0.0
4187500.5	0.0
4212500.5	111.0
4237500.5	65899.25
4262500.5	0.0
4287500.5	0.0
4312500.5	0.0
4337500.5	0.0
4362500.5	0.0
4387500.5	0.0
4412500.5	0.0
4437500.5	0.0
4462500.5	0.0
4487500.5	0.0
4512500.5	118.0
4537500.5	0.0
4562500.5	0.0
4587500.5	226891.0
4612500.5	0.0
4637500.5	0.0
4662500.5	0.0
4687500.5	0.0
4712500.5	141250.0
4737500.5	0.0
4762500.5	0.0
4787500.5	0.0
4812500.5	0.0
4837500.5	0.0
4862500.5	156581.75
4887500.5	100.8
4912500.5	0.0
4937500.5	120758.0
4962500.5	0.0
4987500.5	0.0
5012500.5	0.0
5037500.5	82.0
5062500.5	0.0
5087500.5	0.0
5112500.5	70.0
5137500.5	0.0
5162500.5	0.0
5187500.5	136.0
5212500.5	0.0
5237500.5	0.0
5262500.5	0.0
5287500.5	0.0
5312500.5	0.0
5337500.5	0.0
5362500.5	0.0
5387500.5	0.0
5412500.5	0.0
5437500.5	97.0
5462500.5	71.0
5487500.5	0.0
5512500.5	0.0
5537500.5	0.0
5562500.5	0.0
5587500.5	0.0
5612500.5	95.0
5637500.5	108320.0
5662500.5	171180.0
5687500.5	0.0
5712500.5	0.0
5737500.5	28593.2
5762500.5	0.0
5787500.5	14091.0
5812500.5	70909.33333333333
5837500.5	90.0
5862500.5	733.8888888888889
5887500.5	155.11111111111111
5912500.5	1099.5
5937500.5	135.2
5962500.5	732.6666666666666
5987500.5	160.71428571428572
6012500.5	0.0
6037500.5	0.0
6062500.5	0.0
6087500.5	137.30769230769232
6112500.5	150.42857142857142
6137500.5	0.0
6162500.5	427536.0
6187500.5	423.5234042553191
6212500.5	169.03864734299518
6237500.5	147.16504854368932
6262500.5	491.45283018867923
6287500.5	141.75
6312500.5	0.0
6337500.5	24589.0
6362500.5	17067.0
6387500.5	306883.0
6412500.5	0.0
6437500.5	0.0
6462500.5	0.0
6487500.5	0.0
6512500.5	0.0
6537500.5	0.0
6562500.5	0.0
6587500.5	125.0
6612500.5	0.0
6637500.5	0.0
6662500.5	6760.0
6687500.5	0.0
6712500.5	0.0
6737500.5	0.0
6762500.5	0.0
6787500.5	0.0
6812500.5	0.0
6837500.5	0.0
6862500.5	0.0
6887500.5	0.0
6912500.5	0.0
6937500.5	0.0
6962500.5	0.0
6987500.5	0.0
7012500.5	0.0
7037500.5	0.0
7062500.5	0.0
7087500.5	0.0
7112500.5	0.0
7137500.5	0.0
7162500.5	0.0
7187500.5	0.0
7212500.5	191716.0
7237500.5	0.0
7262500.5	0.0
7287500.5	0.0
7312500.5	0.0
7337500.5	0.0
7362500.5	0.0
7387500.5	64655.0
7412500.5	43216.07692307692
7437500.5	0.0
7462500.5	0.0
7487500.5	0.0
7512500.5	0.0
7537500.5	0.0
7562500.5	0.0
7587500.5	198473.0
7612500.5	167.66666666666666
7637500.5	0.0
7662500.5	0.0
7687500.5	0.0
7712500.5	0.0
7737500.5	0.0
7762500.5	0.0
7787500.5	0.0
7812500.5	0.0
7837500.5	0.0
7862500.5	0.0
7887500.5	0.0
7912500.5	0.0
7937500.5	0.0
7962500.5	55125.0
7987500.5	0.0
8012500.5	0.0
8037500.5	0.0
8062500.5	0.0
8087500.5	0.0
8112500.5	0.0
8137500.5	91.0
8162500.5	0.0
8187500.5	0.0
8212500.5	9921.0
8237500.5	138216.0
8262500.5	0.0
8287500.5	0.0
8312500.5	0.0
8337500.5	0.0
8362500.5	0.0
8387500.5	99371.0
8412500.5	0.0
