#Mapping quality	mapping quality
0.0	14576.0
1.0	26846.0
3.0	2.0
4.0	13.0
5.0	20.0
6.0	32.0
7.0	19.0
8.0	32.0
9.0	78.0
10.0	104.0
11.0	1.0
12.0	231.0
14.0	4.0
15.0	521.0
16.0	5.0
17.0	59.0
18.0	9.0
19.0	9.0
20.0	2021.0
21.0	13.0
22.0	16.0
23.0	56.0
24.0	297.0
25.0	36.0
26.0	98.0
27.0	44.0
28.0	21.0
30.0	6378.0
32.0	20.0
33.0	27.0
34.0	112.0
35.0	14.0
36.0	340.0
37.0	84.0
38.0	27.0
40.0	2331.0
41.0	31.0
42.0	53.0
43.0	108.0
44.0	11.0
45.0	968.0
46.0	129.0
47.0	4.0
48.0	585.0
49.0	53.0
50.0	413.0
51.0	258.0
52.0	170.0
53.0	129.0
54.0	241.0
55.0	196.0
56.0	195.0
57.0	512.0
58.0	548.0
59.0	97.0
60.0	281819.0
