"","logFC","logCPM","LR","PValue"
"ENSGMOG00000000001",-0.075712838268674,6.76293437385318,0.488595783757406,0.484554362652214
"ENSGMOG00000000002",0.00411765168477424,2.48812816836995,0.000259513131275924,0.987147105386976
"ENSGMOG00000000003",-1.22209206028026,4.49327241317003,1.19177210181269,0.274972393602077
"ENSGMOG00000000006",-0.196364657485644,6.50507593453226,2.50724709283965,0.11332373943897
"ENSGMOG00000000007",-0.125037029891116,0.321080707738926,0.0817012596167981,0.77500501917855
"ENSGMOG00000000009",0.0549064204669055,5.41875171377324,0.200439060761151,0.654366682006501
"ENSGMOG00000000010",0.657768245346077,2.77882143911286,2.04317133954419,0.15289060673731
"ENSGMOG00000000012",0.0632266583511435,1.1293033712624,0.00956213882237478,0.922102074144695
"ENSGMOG00000000014",-0.139513740374163,10.2025441050665,1.24334145216471,0.264828044972896
"ENSGMOG00000000015",-0.352761344277724,4.91217085042571,3.41573136629665,0.0645777923074862
"ENSGMOG00000000016",-0.170611199428891,4.54967447632334,0.66595234646957,0.414466372734608
"ENSGMOG00000000018",-0.0929295220002928,4.62889557420057,0.3006782072421,0.583457557853764
"ENSGMOG00000000019",-0.102716006988238,4.89476973769016,0.357684251286528,0.549795164319145
"ENSGMOG00000000020",-0.324464831222961,4.94731904000644,3.27267844720173,0.0704425255328631
"ENSGMOG00000000021",-0.367229476171064,7.04071941269119,7.32622538297545,0.00679556171301888
"ENSGMOG00000000022",-0.00470050046896094,0.217259217845833,0.000126215263214213,0.991036309257722
"ENSGMOG00000000023",0.055927114873857,5.13449254876539,0.117895216334322,0.731328604279696
"ENSGMOG00000000024",-0.24141994286083,0.132733555268258,0.294529554700736,0.587332399641573
"ENSGMOG00000000025",0.0960147999332337,3.92715710330588,0.227527220708911,0.633363449743337
"ENSGMOG00000000026",-0.265128209364165,0.675716946297167,0.501933673552649,0.478651712819962
"ENSGMOG00000000028",-0.047466341007123,4.12199994193884,0.0819780002666031,0.774634568744593
"ENSGMOG00000000031",-0.131655685491126,8.10194251215372,0.567768284284234,0.451147106040788
"ENSGMOG00000000032",0.0619928860794194,4.79447592080496,0.138287616845677,0.709989322100975
"ENSGMOG00000000033",-0.0507855386119648,3.09485285510479,0.0378148433221313,0.845815407787823
"ENSGMOG00000000034",-0.239703793659236,1.39443535115062,0.71879670330039,0.396538896120715
"ENSGMOG00000000036",0.155642856153706,2.1934129521108,0.369325111626671,0.543372370103358
"ENSGMOG00000000037",1.40728423117661,0.853420446432836,13.3633873751011,0.000256584445780301
"ENSGMOG00000000038",0.00594721579874324,4.11493448594334,0.000917425215405387,0.975836546970508
"ENSGMOG00000000042",0.0656382895412731,4.9973146389439,0.169841006419194,0.680253148955525
"ENSGMOG00000000044",-0.116157591267038,5.73031538085106,0.928044561699064,0.335371560508312
