"","logFC","logCPM","LR","PValue"
"ENSGMOG00000000001",-0.171250460439419,6.74675058194702,2.64561240018725,0.103836136198502
"ENSGMOG00000000002",-0.010582304491457,2.50826356938784,0.00189962859958115,0.965235424644863
"ENSGMOG00000000003",0.436035438580873,5.1639352259188,0.215495998281995,0.642493382037452
"ENSGMOG00000000006",-0.0589420354630535,6.58968598535403,0.365875080421352,0.545261333213673
"ENSGMOG00000000007",-1.47984672197788,-0.0748425665969357,7.79350432016411,0.00524343976660924
"ENSGMOG00000000009",-0.105358154123118,5.37210477764974,0.85015631660033,0.356508120325515
"ENSGMOG00000000010",0.648643898772982,2.79573017798697,2.50479189829979,0.113500476893441
"ENSGMOG00000000012",0.286813047501494,1.26680765227105,0.193061965899894,0.660380295296468
"ENSGMOG00000000014",-0.0700914384144192,10.2587006691921,0.477452098767174,0.489578683439224
"ENSGMOG00000000015",-0.291163074977017,4.96182166206129,1.64630368887782,0.199462766348162
"ENSGMOG00000000016",0.152641845223533,4.72058932860402,0.745550512116157,0.38788863179975
"ENSGMOG00000000018",-0.153992409542634,4.62844301025046,1.15001094689612,0.28354685806218
"ENSGMOG00000000019",-0.0637169981772131,4.93934058596206,0.148675142994144,0.699804667629384
"ENSGMOG00000000020",-0.39237497803926,4.94697106151945,6.18225782988937,0.0129037516634497
"ENSGMOG00000000021",-0.282482628131497,7.10081813886187,5.55443337569939,0.0184339389655253
"ENSGMOG00000000022",-0.501759855085945,0.05123758029837,1.63229377054472,0.201386081197284
"ENSGMOG00000000023",-0.187907338517534,5.05256652978573,1.4366234265321,0.230686525890907
"ENSGMOG00000000024",0.224082035701648,0.349435056147342,0.34542941741196,0.556711899736259
"ENSGMOG00000000025",0.110314998631737,3.96061353448759,0.295830879321633,0.586507967638028
"ENSGMOG00000000026",-0.882056693764176,0.492365900164827,4.77847752050591,0.0288175880404953
"ENSGMOG00000000028",-0.0179064327357994,4.16029987105363,0.0128243077076133,0.909836748414645
"ENSGMOG00000000031",-0.293044220134063,8.06085757773206,3.65353475706033,0.0559503483733364
"ENSGMOG00000000032",0.231003945042119,4.90198781248104,2.14317136960101,0.143205578943813
"ENSGMOG00000000033",-0.0510880332026034,3.12189163007286,0.0453165281474703,0.831423065568585
"ENSGMOG00000000034",-0.216410876416783,1.43069112335723,0.478322006370946,0.489183363455856
"ENSGMOG00000000036",0.295319045409101,2.28721264199784,1.24058369741276,0.26535859075128
"ENSGMOG00000000037",1.20360342592593,0.744287863795192,13.0830680655787,0.000297976997636047
"ENSGMOG00000000038",0.333340294706474,4.29878807896593,4.84733118875016,0.027688941985031
"ENSGMOG00000000042",-0.0283861950347966,4.98105928957088,0.0327655430572182,0.85635772569764
"ENSGMOG00000000044",0.0567678990187971,5.8337914555317,0.293271427833689,0.588131709133537
"ENSGMOG00000000045",0.323284303891599,4.94859087989296,4.16329825040741,0.0413088901921967
"ENSGMOG00000000046",-0.0320017979698268,5.44790018996688,0.0441106578817676,0.833647868799638
"ENSGMOG00000000047",0.0951874918665891,4.01370348573979,0.252865028883747,0.615064908461543
"ENSGMOG00000000048",0.172938939965011,4.01357101971531,0.96934081322566,0.324844633200569
"ENSGMOG00000000050",0.200461222353063,5.46404564276677,3.19906657450385,0.0736803114642316
"ENSGMOG00000000051",0.523403320399463,2.77863493685396,3.10315910244545,0.0781405251859665
"ENSGMOG00000000053",0.0912163973222662,2.33091837663801,0.138562740579727,0.709714043793209
"ENSGMOG00000000054",-0.0771697072282484,5.32820152774586,0.278396734981097,0.597753983898201
"ENSGMOG00000000055",0.0107282497931993,4.53884300796422,0.00567518930753685,0.939949087730338
"ENSGMOG00000000056",0.183571593044787,3.80574601277619,0.727274204882424,0.39376815414066
"ENSGMOG00000000057",0.0546034434441847,2.61664677923937,0.0237181035787088,0.877604350551828
"ENSGMOG00000000059",-0.170061653227245,1.5995114453181,0.352726351611746,0.552573851202149
"ENSGMOG00000000060",0.947047309405392,-0.392345751515824,3.12544267535633,0.0770789343878129
"ENSGMOG00000000061",0.230546372832148,6.00448894694615,3.77903654785261,0.0518985357976466
"ENSGMOG00000000062",-0.22723795552506,-0.255039260700859,0.366225592505152,0.545068866402549
"ENSGMOG00000000063",-0.315349767734644,5.04787501665473,5.51822024344529,0.0188193958989211
"ENSGMOG00000000064",-0.234180984173781,-0.496758106304522,0.0595832679682076,0.807155818791232
"ENSGMOG00000000065",-0.257644876960463,4.18744166940183,2.13807146256392,0.143682418925574
"ENSGMOG00000000067",-0.817371858080393,13.1624611749147,0.607961416462068,0.435556406926783
"ENSGMOG00000000068",0.615049118489205,0.0479883831090569,1.27949581413645,0.257992801163828
"ENSGMOG00000000069",-0.0455964287975167,7.35127605063573,0.115567381234804,0.73389265482198
"ENSGMOG00000000070",-0.17113813957865,4.29702133682323,0.946215352648331,0.330684521296863
"ENSGMOG00000000071",-0.147742127777095,6.51432101421586,1.32647291309004,0.249433660770271
