#Position (bp)	Coverage
7512500.5	0.0
7537500.5	0.18528
7562500.5	0.0
7587500.5	0.01256
7612500.5	0.03248
7637500.5	0.00252
7662500.5	0.3632
7687500.5	1.0
7712500.5	1.41104
7737500.5	2.68256
7762500.5	0.59352
7787500.5	0.0
7812500.5	0.00504
7837500.5	0.0
7862500.5	0.00252
7887500.5	0.4292
7912500.5	2.09604
7937500.5	3.96112
7962500.5	3.65632
7987500.5	4.32524
8012500.5	2.23076
8037500.5	1.8166
8062500.5	1.33148
8087500.5	1.54692
8112500.5	3.73016
8137500.5	5.01024
8162500.5	4.21272
8187500.5	4.24348
8212500.5	6.35844
8237500.5	7.58788
8262500.5	4.36008
8287500.5	2.70512
8312500.5	4.08056
8337500.5	2.841
8362500.5	2.0
8387500.5	2.29448
8412500.5	1.58048
8437500.5	0.357
8462500.5	0.00252
8487500.5	0.00948
8512500.5	0.01008
8537500.5	0.8046
8562500.5	0.0
8587500.5	0.0
8612500.5	0.00232
8637500.5	0.00244
8662500.5	0.07332
8687500.5	0.85916
8712500.5	0.00648
8737500.5	0.00496
8762500.5	0.39536
8787500.5	1.51596
8812500.5	1.50996
8837500.5	0.01244
8862500.5	0.16088
8887500.5	1.35908
8912500.5	0.72576
8937500.5	2.00756
8962500.5	2.4086
8987500.5	2.34472
9012500.5	2.48344
9037500.5	3.00252
9062500.5	6.43652
9087500.5	6.33572
9112500.5	5.07976
9137500.5	3.27916
9162500.5	5.95048
9187500.5	4.04672
9212500.5	3.75704
9237500.5	2.30496
9262500.5	2.00228
9287500.5	2.00224
9312500.5	1.5128
9337500.5	0.29248
9362500.5	0.7478
9387500.5	0.0
9412500.5	1.23076
9437500.5	1.9226
9462500.5	1.91884
9487500.5	3.56912
9512500.5	2.1684
9537500.5	3.41988
9562500.5	3.0368
9587500.5	2.23892
9612500.5	1.99828
9637500.5	4.09288
9662500.5	3.02668
9687500.5	2.24364
9712500.5	1.06564
9737500.5	1.43244
9762500.5	2.68092
9787500.5	0.66292
9812500.5	1.4328
9837500.5	0.69668
9862500.5	0.34728
9887500.5	0.89108
9912500.5	1.28656
9937500.5	2.15168
9962500.5	2.9148
9987500.5	1.88124
