,sample_1,sample_2,sample_3
ENSGMOG00000000109,0.51643604,0.673995767,0.703231831
ENSGMOG00000000110,0.044907482,0.178410644,0.216379025
ENSGMOG00000000111,15.6053499,14.11426429,13.55073643
ENSGMOG00000000112,21.12897015,20.04146235,20.47486523
ENSGMOG00000000113,2300.183668,2195.362799,2313.186442
ENSGMOG00000000114,1009.475282,1272.46436,1120.992109
ENSGMOG00000000115,0.404167336,0.277527669,0.324568537
ENSGMOG00000000116,12.77617855,13.42044512,11.65741996
ENSGMOG00000000117,119.0048266,128.9314255,139.4292341
ENSGMOG00000000118,143.0303293,152.5411007,144.8387098
ENSGMOG00000000119,0.763427189,0.535231932,0.784373965
ENSGMOG00000000120,1.526854379,2.06163411,1.28475046
ENSGMOG00000000121,0.044907482,0,0
ENSGMOG00000000122,0.404167336,0.277527669,0.027047378
ENSGMOG00000000123,1.03287208,1.169580889,0.960181923
ENSGMOG00000000124,0.78588093,1.189404294,1.609318997
ENSGMOG00000000125,0,0,0.040571067
ENSGMOG00000000126,9.183580014,9.951349259,10.02105359
ENSGMOG00000000127,16.95257435,23.84755609,20.00153611
ENSGMOG00000000128,20.20836678,14.66931963,20.23143882
ENSGMOG00000000129,10.48589698,11.25969398,11.08942502
ENSGMOG00000000130,0.022453741,0,0.027047378
ENSGMOG00000000131,31.92921951,35.72177563,30.86105842
ENSGMOG00000000132,8.105800452,8.147419414,8.57401886
ENSGMOG00000000133,384.1835062,430.9013523,364.896178
ENSGMOG00000000134,0.089814963,0.277527669,0.094665823
ENSGMOG00000000135,25.91161696,32.98614575,28.50793652
ENSGMOG00000000136,13.76414315,13.63850257,13.15854945
ENSGMOG00000000137,155.2227106,115.7686846,146.7185025
ENSGMOG00000000138,44.57067562,52.9879613,44.51998436
ENSGMOG00000000139,3.457876093,3.488919262,3.475588087
ENSGMOG00000000140,3.682413502,4.380972483,3.462064398
ENSGMOG00000000141,2.133105382,2.220221349,1.798650644
ENSGMOG00000000142,20.94934023,24.32331781,23.80169273
ENSGMOG00000000143,1.347224452,1.01099365,1.068371435
ENSGMOG00000000144,0.067361223,0.118940429,0.013523689
ENSGMOG00000000145,5.052091695,6.284019353,5.842233671
ENSGMOG00000000146,263.7865477,327.3637085,263.0627995
ENSGMOG00000000147,0.022453741,0.019823405,0.094665823
ENSGMOG00000000148,3.188431203,2.656336256,2.894069457
ENSGMOG00000000149,0,0,0
ENSGMOG00000000150,8.262976638,5.689317206,4.787385925
ENSGMOG00000000151,4.962276731,5.709140611,4.070630405
ENSGMOG00000000152,1.594215601,1.268697914,1.487605796
ENSGMOG00000000153,1.30231697,2.06163411,2.43426403
ENSGMOG00000000154,74.18715982,110.4361887,102.2390892
ENSGMOG00000000155,16.05442472,14.53055579,13.75359177
ENSGMOG00000000156,1.122687043,0.773112791,1.163037259
ENSGMOG00000000157,0.022453741,0.07929362,0.14876058
ENSGMOG00000000158,41.98849542,51.12456124,46.0752086
ENSGMOG00000000159,7.050474631,8.048302389,6.788891905
ENSGMOG00000000160,4.131488319,4.202561839,4.381675253
ENSGMOG00000000161,37.20584861,42.04544179,40.16535649
ENSGMOG00000000162,0.336806113,0.178410644,0.365139604
ENSGMOG00000000163,0,0.019823405,0.054094756
ENSGMOG00000000164,57.27949295,65.47670638,56.4614018
ENSGMOG00000000165,7.926170525,9.396293922,8.411734591
ENSGMOG00000000166,2.043290419,1.546225582,2.420740341
ENSGMOG00000000167,1.212502007,1.01099365,0.865516099
ENSGMOG00000000168,2.06574416,1.605695797,1.555224241
ENSGMOG00000000169,0.583797262,0.198234049,0.378663293
ENSGMOG00000000170,2.514818977,2.438278803,2.339598206
ENSGMOG00000000171,14.57247782,15.48207923,14.40272884
ENSGMOG00000000172,38.4632581,34.82972241,39.58383786
ENSGMOG00000000173,10.84515684,10.76410886,9.750579807
ENSGMOG00000000174,40.0574737,47.49687814,39.57031417
ENSGMOG00000000175,12.10256633,12.98433021,11.68446734
ENSGMOG00000000176,29.16740938,27.9113541,29.76563961
ENSGMOG00000000177,17.60373284,17.42477291,15.43052921
ENSGMOG00000000178,76.29781146,94.65675839,78.27511224
ENSGMOG00000000179,47.916283,49.91533354,45.48016629
ENSGMOG00000000180,5.276629103,4.301678863,4.814433303
ENSGMOG00000000181,44.6155831,51.46155912,45.56130842
ENSGMOG00000000182,4.490748173,3.706976716,4.327580497
ENSGMOG00000000183,0.044907482,0,0
ENSGMOG00000000184,150.8666849,165.6047245,151.9792176
ENSGMOG00000000185,5.209267881,3.251038403,3.867775069
ENSGMOG00000000186,27.25884141,34.51254793,35.14806785
ENSGMOG00000000187,0,0,0
ENSGMOG00000000188,10.12663713,9.317000303,9.128490111
ENSGMOG00000000189,263.4721953,321.8726253,271.866721
ENSGMOG00000000190,22.52110209,23.82773269,27.52070722
ENSGMOG00000000191,0,0,0
ENSGMOG00000000192,1.459493156,1.189404294,0.811421343
ENSGMOG00000000193,102.0297985,87.10404113,97.43817963
ENSGMOG00000000194,39.27159277,41.72826731,40.70630405
ENSGMOG00000000195,23.89078028,20.49740067,20.56953105
ENSGMOG00000000196,0.134722445,0.237880859,0.162284269
ENSGMOG00000000197,0.381713595,0.515408527,0.527423873
ENSGMOG00000000198,63.36445672,66.30928939,66.99635557
ENSGMOG00000000199,1.03287208,0.634348957,0.838468721
ENSGMOG00000000200,5.209267881,5.134261869,6.099183763
ENSGMOG00000000201,21.30860008,19.66481766,22.01656578
ENSGMOG00000000202,13.67432819,13.30150469,13.03683625
ENSGMOG00000000203,0.561343522,0.198234049,0.324568537
ENSGMOG00000000204,31.74958958,37.52570547,33.7280805
ENSGMOG00000000205,1.414585674,2.041810705,0.879039788
ENSGMOG00000000206,6.983113409,7.433776837,7.546218492
ENSGMOG00000000207,13.60696696,12.07245358,14.11873137
ENSGMOG00000000208,69.94340279,68.03392561,67.49673207
ENSGMOG00000000209,19.06322599,21.46874751,18.60859614
ENSGMOG00000000210,0,0.019823405,0
ENSGMOG00000000211,0.314352372,0.237880859,0.297521159
ENSGMOG00000000212,8.869227641,7.195895978,7.397457912
ENSGMOG00000000213,0.134722445,0.03964681,0.067618445
ENSGMOG00000000214,0.134722445,0.138763834,0.121713201
ENSGMOG00000000215,0.112268704,0.019823405,0.081142134
ENSGMOG00000000216,3.053708758,1.803929846,1.555224241
ENSGMOG00000000217,12.46182618,9.891879045,10.21038524
ENSGMOG00000000218,97.42678161,103.2204693,97.80331923
ENSGMOG00000000219,0,0,0
ENSGMOG00000000220,0.044907482,0.03964681,0.040571067
ENSGMOG00000000221,22.99263065,21.11192622,20.78591007
ENSGMOG00000000222,6.084963774,6.065961899,6.356133855
ENSGMOG00000000223,55.59546238,48.30963774,62.77696459
ENSGMOG00000000224,19.06322599,17.97982824,20.52895998
ENSGMOG00000000225,0.134722445,0.099117024,0.14876058
ENSGMOG00000000226,2.469911495,2.735629876,3.340351196
ENSGMOG00000000227,2.425004013,1.843576656,2.177313938
ENSGMOG00000000228,30.67181002,26.18671787,30.94220055
ENSGMOG00000000229,1.145140784,0.93170003,0.811421343
ENSGMOG00000000230,0.718519708,0.733465981,0.71675552
ENSGMOG00000000231,206.4172398,208.7801004,201.8140117
ENSGMOG00000000232,110.8990261,129.1494829,109.6500708
ENSGMOG00000000233,52.00286384,62.34460841,52.90467158
ENSGMOG00000000234,18.0752614,16.53271969,18.17583809
ENSGMOG00000000235,32.89473037,35.42442455,30.15782659
ENSGMOG00000000236,170.9627829,184.7343103,155.7117558
ENSGMOG00000000237,25.48499588,22.06344965,24.11273758
ENSGMOG00000000238,7.185197077,6.95801512,6.653655014
ENSGMOG00000000239,16.18914716,15.26402177,17.79717479
ENSGMOG00000000240,37.27320984,44.44407378,39.38098252
ENSGMOG00000000241,26.29333055,28.94217115,23.89635856
ENSGMOG00000000242,30.08801276,28.90252434,31.69952714
ENSGMOG00000000243,297.0405379,338.5837557,288.960664
ENSGMOG00000000244,20.97179397,24.44225824,22.19237374
ENSGMOG00000000245,1.773845528,2.378808588,2.353121895
ENSGMOG00000000246,105.2182297,122.5086423,100.9408151
ENSGMOG00000000247,36.55469013,39.09175446,36.43281831
ENSGMOG00000000248,88.42283152,95.33075416,77.76121206
ENSGMOG00000000249,27.82018493,22.6779752,27.62889674
ENSGMOG00000000250,151.1361298,180.4921016,147.3405922
ENSGMOG00000000251,134.9694363,152.3230432,136.8056385
ENSGMOG00000000252,8.105800452,8.306006653,8.99325322
ENSGMOG00000000253,19.46739333,20.43793045,19.36592272
ENSGMOG00000000254,28.42643593,27.63382643,30.36068192
ENSGMOG00000000255,20.43290419,21.66698155,22.44932383
ENSGMOG00000000256,0.089814963,0.07929362,0
ENSGMOG00000000257,14.19076423,16.84989416,15.45757659
ENSGMOG00000000258,38.50816558,34.94866284,38.664227
ENSGMOG00000000259,1.571761861,2.002163895,1.636366375
ENSGMOG00000000260,176.5986719,177.3401802,180.1896329
ENSGMOG00000000261,4.086580837,3.290685213,3.989488271
ENSGMOG00000000262,19.10813348,16.67148352,19.62287282
ENSGMOG00000000263,2.492365236,2.418455398,1.893316467
ENSGMOG00000000264,86.98579211,94.29993711,96.00466859
ENSGMOG00000000265,0.628704744,0.376644693,0.730279209
ENSGMOG00000000266,198.1542631,196.7076468,191.6577213
ENSGMOG00000000267,76.54480261,79.19450257,86.88970217
ENSGMOG00000000268,67.38367633,62.50319565,63.0068673
ENSGMOG00000000269,0.965510857,0.93170003,0.987229301
ENSGMOG00000000270,5.254175362,5.431612942,5.341857176
ENSGMOG00000000271,14.5051166,13.24203447,13.4695943
ENSGMOG00000000272,0,0.019823405,0
ENSGMOG00000000273,113.2791227,96.99592017,106.0527696
ENSGMOG00000000274,21.71276742,22.10309646,19.85277553
ENSGMOG00000000275,0.561343522,0.336997883,0.973705612
ENSGMOG00000000276,1.953475455,1.665166012,1.595795308
ENSGMOG00000000277,21.80258238,19.48640702,19.94744135
ENSGMOG00000000278,199.1646815,182.6726761,205.0867445
ENSGMOG00000000279,0.202083668,0.198234049,0.243426403
ENSGMOG00000000280,0.224537409,0.317174478,0.351615915
ENSGMOG00000000281,0.157176186,0.07929362,0.229902714
ENSGMOG00000000282,1.30231697,1.486755367,1.474082107
ENSGMOG00000000283,0,0,0
ENSGMOG00000000284,0.044907482,0,0.094665823
ENSGMOG00000000285,6.511584851,6.402959782,6.302039099
ENSGMOG00000000286,2.290281568,2.121104324,1.325321527
ENSGMOG00000000287,0.112268704,0.099117024,0.256950092
ENSGMOG00000000288,3.255792425,3.508742667,3.962440893
ENSGMOG00000000289,1.639123083,1.605695797,1.906840157
ENSGMOG00000000290,0.157176186,0.07929362,0.162284269
ENSGMOG00000000291,86.94088463,92.81318174,85.92952024
ENSGMOG00000000292,4.086580837,4.301678863,4.219390985
ENSGMOG00000000293,0.426621076,0.733465981,0.554471251
ENSGMOG00000000294,1.055325821,1.129934079,1.14951357
ENSGMOG00000000295,18.16507636,16.45342607,18.51393031
ENSGMOG00000000296,3.076162498,2.715806471,2.353121895
