	sample_13	sample_14	sample_15
ENSGMOG00000000109	0.711932859	0.261728605	0.616520546
ENSGMOG00000000110	0.152557041	0.140930787	0.096331335
ENSGMOG00000000111	14.3234111	14.85813155	13.48638694
ENSGMOG00000000112	18.61195903	18.44180014	18.61121398
ENSGMOG00000000113	2144.257018	2218.633115	1932.772645
ENSGMOG00000000114	971.4493372	818.2240169	961.7335192
ENSGMOG00000000115	0.152557041	0.382526422	0.288994006
ENSGMOG00000000116	12.73003755	11.27446297	12.54233986
ENSGMOG00000000117	123.7746128	133.4413224	121.8591392
ENSGMOG00000000118	157.642276	132.9379982	133.0913729
ENSGMOG00000000119	0.610228165	1.026781449	1.098177223
ENSGMOG00000000120	2.017143101	1.46970678	1.849561638
ENSGMOG00000000121	0.033901565	0.02013297	0.038532534
ENSGMOG00000000122	0.067803129	0.161063757	0.134863869
ENSGMOG00000000123	1.559471977	1.630770536	1.175242291
ENSGMOG00000000124	1.186554765	1.268377084	1.849561638
ENSGMOG00000000125	0.016950782	0	0.019266267
ENSGMOG00000000126	13.30636415	13.89174901	12.83133386
ENSGMOG00000000127	21.03592091	20.11283661	21.1736275
ENSGMOG00000000128	17.52710896	19.83097504	22.25253846
ENSGMOG00000000129	10.25522333	11.41539375	10.73131075
ENSGMOG00000000130	0.033901565	0.040265939	0
ENSGMOG00000000131	32.68110839	29.59546529	29.67005128
ENSGMOG00000000132	7.949916928	8.858506617	7.764305626
ENSGMOG00000000133	427.5834851	374.2517716	390.719896
ENSGMOG00000000134	0.711932859	0.241595635	0.366059074
ENSGMOG00000000135	28.4434128	27.139243	28.34067885
ENSGMOG00000000136	13.18770868	12.92536647	12.23407958
ENSGMOG00000000137	151.0145201	154.5608075	163.2623471
ENSGMOG00000000138	49.29287511	43.42681539	44.44727811
ENSGMOG00000000139	3.457959602	3.583668586	3.448661804
ENSGMOG00000000140	6.017527739	5.294971001	6.511998267
ENSGMOG00000000141	1.678127454	1.973031019	1.522035098
ENSGMOG00000000142	23.78194765	24.30049429	25.72046653
ENSGMOG00000000143	0.711932859	0.805318783	0.712851881
ENSGMOG00000000144	0.135606259	0.281861574	0.211928938
ENSGMOG00000000145	6.017527739	5.31510397	5.895477721
ENSGMOG00000000146	295.5199397	258.4066646	264.2946516
ENSGMOG00000000147	0.118655477	0.060398909	0.077065068
ENSGMOG00000000148	2.017143101	3.160876225	2.75507619
ENSGMOG00000000149	0	0	0
ENSGMOG00000000150	4.797071408	5.053375366	6.126672926
ENSGMOG00000000151	4.169892461	3.301807012	3.814720878
ENSGMOG00000000152	1.610324324	1.288510053	1.175242291
ENSGMOG00000000153	2.169700142	1.872366171	0.732118148
ENSGMOG00000000154	56.36135135	38.03117954	55.31345274
ENSGMOG00000000155	13.3572165	13.20722805	13.42858814
ENSGMOG00000000156	0.813637553	1.026781449	0.886248285
ENSGMOG00000000157	0.050852347	0.100664848	0.057798801
ENSGMOG00000000158	49.32677667	45.44011235	49.97669676
ENSGMOG00000000159	5.407299573	6.865342628	5.452353579
ENSGMOG00000000160	4.847923756	5.093641305	4.643170362
ENSGMOG00000000161	43.42790441	43.91000666	40.94081751
ENSGMOG00000000162	0.525474253	0.50332424	0.712851881
ENSGMOG00000000163	0	0.040265939	0
ENSGMOG00000000164	62.34497753	56.21125108	58.24192533
ENSGMOG00000000165	7.204082504	6.825076689	6.589063335
ENSGMOG00000000166	1.50861963	1.650903506	1.733964036
ENSGMOG00000000167	0.830588336	1.046914418	0.674319347
ENSGMOG00000000168	3.508811949	2.234759624	2.678011122
ENSGMOG00000000169	0.271212518	0.402659392	0.558721745
ENSGMOG00000000170	2.322257184	2.496488228	2.061490576
ENSGMOG00000000171	15.15399943	16.44863615	15.52861125
ENSGMOG00000000172	35.13897184	40.58806668	36.89490143
ENSGMOG00000000173	10.20437098	8.918905526	9.594600997
ENSGMOG00000000174	45.24163812	42.84295928	39.45731494
ENSGMOG00000000175	12.23846487	12.4421752	11.15516863
ENSGMOG00000000176	23.86670157	30.64237971	27.45443056
ENSGMOG00000000177	16.79822532	16.79089663	16.81945115
ENSGMOG00000000178	89.05941053	78.19645387	79.58894924
ENSGMOG00000000179	48.95385946	46.9299521	47.35648444
ENSGMOG00000000180	4.983530014	3.583668586	4.623904095
ENSGMOG00000000181	50.14041423	44.65492654	51.11340652
ENSGMOG00000000182	5.610708962	5.194306153	5.818412653
ENSGMOG00000000183	0	0	0
ENSGMOG00000000184	163.3038373	152.1448511	156.4998874
ENSGMOG00000000185	4.59366202	4.268189552	4.20004622
ENSGMOG00000000186	30.03678635	25.22661089	32.36732867
ENSGMOG00000000187	0	0	0
ENSGMOG00000000188	9.814502988	9.68395837	9.401938327
ENSGMOG00000000189	295.1809241	272.6004082	276.4323998
ENSGMOG00000000190	20.2731357	21.58254339	22.19473966
ENSGMOG00000000191	0	0	0.019266267
ENSGMOG00000000192	1.356062589	1.711302415	1.599100166
ENSGMOG00000000193	78.58382703	90.39703343	88.77895863
ENSGMOG00000000194	45.08908108	51.13774274	50.2464245
ENSGMOG00000000195	19.96802162	21.32081479	22.25253846
ENSGMOG00000000196	0.237310953	0.060398909	0.32752654
ENSGMOG00000000197	0.694982077	1.308643023	0.558721745
ENSGMOG00000000198	66.48096842	63.15712559	67.37413592
ENSGMOG00000000199	1.305210242	1.087180358	1.078910956
ENSGMOG00000000200	6.695559033	6.563348084	6.608329603
ENSGMOG00000000201	25.62958293	26.71645064	24.4488929
ENSGMOG00000000202	13.00125007	12.50257411	13.81391348
ENSGMOG00000000203	0.220360171	0.583856118	0.211928938
ENSGMOG00000000204	39.96994481	36.40040901	35.27653499
ENSGMOG00000000205	1.525570413	1.832100232	1.233041092
ENSGMOG00000000206	6.271789474	6.603614024	6.589063335
ENSGMOG00000000207	13.00125007	13.99241386	11.81022171
ENSGMOG00000000208	73.63419858	71.67337172	74.00173179
ENSGMOG00000000209	19.5103505	18.92499141	22.19473966
ENSGMOG00000000210	0	0.02013297	0
ENSGMOG00000000211	0.203409388	0.241595635	0.481656677
ENSGMOG00000000212	9.526339687	10.85167061	9.536802196
ENSGMOG00000000213	0.050852347	0.201329696	0.154130137
ENSGMOG00000000214	0.101704694	0.120797818	0.077065068
ENSGMOG00000000215	0.254261735	0.261728605	0.173396404
ENSGMOG00000000216	2.051044666	2.033429928	2.774342457
ENSGMOG00000000217	10.61118976	11.7173883	10.94323969
ENSGMOG00000000218	123.1813354	129.5757922	132.5133849
ENSGMOG00000000219	0	0.02013297	0.019266267
ENSGMOG00000000220	0.101704694	0.120797818	0.057798801
ENSGMOG00000000221	20.17143101	18.01900778	17.68643316
ENSGMOG00000000222	7.221033286	6.543215115	5.760613852
ENSGMOG00000000223	39.54617525	41.85644377	51.78772586
ENSGMOG00000000224	20.93421622	20.99868728	17.68643316
ENSGMOG00000000225	0.033901565	0.080531878	0.019266267
ENSGMOG00000000226	2.813829872	3.623934525	3.063336463
ENSGMOG00000000227	1.79678293	2.113961806	2.331218315
ENSGMOG00000000228	26.29066344	27.6023013	27.5507619
ENSGMOG00000000229	1.067899289	0.724786905	1.098177223
ENSGMOG00000000230	0.661080512	1.046914418	1.040378421
ENSGMOG00000000231	212.9696296	209.6848782	189.9846595
ENSGMOG00000000232	111.2140831	106.1812816	98.16163068
ENSGMOG00000000233	56.02233571	48.80231827	51.46019932
ENSGMOG00000000234	16.83212689	17.37475275	18.76534412
ENSGMOG00000000235	33.05402561	30.25985329	27.3773655
ENSGMOG00000000236	190.7471539	160.6812303	166.0366895
ENSGMOG00000000237	23.27342418	24.48169101	25.12321225
ENSGMOG00000000238	6.610805121	6.180821662	6.62759587
ENSGMOG00000000239	15.45911351	15.46212064	15.72127392
ENSGMOG00000000240	41.05479488	39.19889178	37.89674731
ENSGMOG00000000241	26.73138378	22.02546873	24.71862064
